,Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
508,,KLF3,A7XYQ1,P57682,0.5119081735610961,0.8979935646057121,0.32957488298416104,0.119173429906368
509,TBX3,KLF3,O15119,P57682,0.5119081735610961,0.8979935646057121,0.7761816978454591,0.6242796182632441
510,ZEB2,KLF3,O60315,P57682,0.5119081735610961,0.8979935646057121,0.9134694337844841,0.701518595218658
511,PIAS1,KLF3,O75925,P57682,0.5119081735610961,0.8979935646057121,0.452395111322402,0.505628526210784
512,SKI,KLF3,P12755,P57682,0.5119081735610961,0.8979935646057121,0.10431753098964601,0.113735496997833
513,SOX5,KLF3,P35711,P57682,0.5119081735610961,0.8979935646057121,0.811525464057922,0.492660135030746
514,MECOM,KLF3,Q03112,P57682,0.5119081735610961,0.8979935646057121,0.083625748753547,0.11049000918865201
515,TBX2,KLF3,Q13207,P57682,0.5119081735610961,0.8979935646057121,0.8126775026321411,0.8727260828018181
516,PCGF3,KLF3,Q3KNV8,P57682,0.5119081735610961,0.8979935646057121,0.081967778503894,0.24801239371299702
517,LRIF1,KLF3,Q5T3J3,P57682,0.5119081735610961,0.8979935646057121,0.49095731973648005,0.670856118202209
518,INO80E,KLF3,Q8NBZ0,P57682,0.5119081735610961,0.8979935646057121,0.8272409439086911,0.5003473758697511
519,MBD6,KLF3,Q96DN6,P57682,0.5119081735610961,0.8979935646057121,0.344859331846237,0.08150216937065101
520,PRDM16,KLF3,Q9HAZ2,P57682,0.5119081735610961,0.8979935646057121,0.07079227268695801,0.16013266146183
521,BCL11A,KLF3,Q9H165,P57682,0.5119081735610961,0.8979935646057121,0.8737601041793821,0.7756053209304811
522,TAF4,KLF3,O00268,P57682,0.5119081735610961,0.8979935646057121,0.833517432212829,0.77192199230194
523,NFIB,KLF3,O00712,P57682,0.5119081735610961,0.8979935646057121,0.681492686271667,0.8011502027511591
524,KMT2D,KLF3,O14686,P57682,0.5119081735610961,0.8979935646057121,0.9250968098640441,0.841981589794158
525,ZNF609,KLF3,O15014,P57682,0.5119081735610961,0.8979935646057121,0.9231745004653931,0.8320931196212761
526,SETD1A,KLF3,O15047,P57682,0.5119081735610961,0.8979935646057121,0.8975480794906611,0.8898701667785641
527,ZNF536,KLF3,O15090,P57682,0.5119081735610961,0.8979935646057121,0.101045347750186,0.072728842496871
528,TRIM24,KLF3,O15164,P57682,0.5119081735610961,0.8979935646057121,0.8822690844535821,0.872316837310791
529,KDM6A,KLF3,O15550,P57682,0.5119081735610961,0.8979935646057121,0.5759890675544731,0.601444602012634
530,ZBTB14,KLF3,O43829,P57682,0.5119081735610961,0.8979935646057121,0.493966668844223,0.8970916867256161
531,SMARCA5,KLF3,O60264,P57682,0.5119081735610961,0.8979935646057121,0.552547931671142,0.8939219713211061
532,ZNF217,KLF3,O75362,P57682,0.5119081735610961,0.8979935646057121,0.8150327801704401,0.7866553068161011
533,E2F6,KLF3,O75461,P57682,0.5119081735610961,0.8979935646057121,0.08840299397706901,0.708997070789337
534,TADA2A,KLF3,O75478,P57682,0.5119081735610961,0.8979935646057121,0.08776803314685801,0.23341152071952803
535,TAF5L,KLF3,O75529,P57682,0.5119081735610961,0.8979935646057121,0.046804003417491004,0.042030233889818004
536,PIAS2,KLF3,O75928,P57682,0.5119081735610961,0.8979935646057121,0.046773649752140004,0.07828605920076301
537,NOL4,KLF3,O94818,P57682,0.5119081735610961,0.8979935646057121,0.12383455038070601,0.428907305002212
538,WIZ,KLF3,O95785,P57682,0.5119081735610961,0.8979935646057121,0.31783673167228704,0.422071635723114
539,NFIC,KLF3,P08651,P57682,0.5119081735610961,0.8979935646057121,0.8170012235641481,0.9159388542175291
540,ATXN1L,KLF3,P0C7T5,P57682,0.5119081735610961,0.8979935646057121,0.604762971401214,0.5280242562294001
541,DBT,KLF3,P11182,P57682,0.5119081735610961,0.8979935646057121,0.051338531076908,0.122151397168636
542,NR2C1,KLF3,P13056,P57682,0.5119081735610961,0.8979935646057121,0.044650953263044,0.040081974118947004
543,HIVEP1,KLF3,P15822,P57682,0.5119081735610961,0.8979935646057121,0.826698005199432,0.755466997623443
544,TAF1,KLF3,P21675,P57682,0.5119081735610961,0.8979935646057121,0.08212149143218901,0.7799214124679561
545,ARID4A,KLF3,P29374,P57682,0.5119081735610961,0.8979935646057121,0.7911165952682491,0.856835842132568
546,KDM5A,KLF3,P29375,P57682,0.5119081735610961,0.8979935646057121,0.060051869601011006,0.8640835881233211
547,ZEB1,KLF3,P37275,P57682,0.5119081735610961,0.8979935646057121,0.855226993560791,0.8130966424942011
548,NR2C2,KLF3,P49116,P57682,0.5119081735610961,0.8979935646057121,0.132335692644119,0.15608735382556901
549,ZNF131,KLF3,P52739,P57682,0.5119081735610961,0.8979935646057121,0.052866987884044,0.24212989211082403
550,HIRA,KLF3,P54198,P57682,0.5119081735610961,0.8979935646057121,0.27421548962593,0.290708720684051
551,ATXN1,KLF3,P54253,P57682,0.5119081735610961,0.8979935646057121,0.9156587719917291,0.7998522520065301
552,CTBP2,KLF3,P56545,P57682,0.5119081735610961,0.8979935646057121,0.067747600376605,0.070821538567543
553,FOXK1,KLF3,P85037,P57682,0.5119081735610961,0.8979935646057121,0.720041573047637,0.633252441883087
554,KMT2A,KLF3,Q03164,P57682,0.5119081735610961,0.8979935646057121,0.894177913665771,0.6923249959945671
555,MBTD1,KLF3,Q05BQ5,P57682,0.5119081735610961,0.8979935646057121,0.047287978231906,0.091325916349887
556,GABPA,KLF3,Q06546,P57682,0.5119081735610961,0.8979935646057121,0.066868357360363,0.153796017169952
557,RING1,KLF3,Q06587,P57682,0.5119081735610961,0.8979935646057121,0.883879661560058,0.8804140090942381
558,EP300,KLF3,Q09472,P57682,0.5119081735610961,0.8979935646057121,0.9226801991462701,0.7266434431076051
559,BPTF,KLF3,Q12830,P57682,0.5119081735610961,0.8979935646057121,0.931955814361572,0.765294730663299
560,NFIA,KLF3,Q12857,P57682,0.5119081735610961,0.8979935646057121,0.8423302769660951,0.804248690605163
561,PRDM2,KLF3,Q13029,P57682,0.5119081735610961,0.8979935646057121,0.42357572913169805,0.577211797237396
562,RLF,KLF3,Q13129,P57682,0.5119081735610961,0.8979935646057121,0.085977375507354,0.508303761482238
563,CTBP1,KLF3,Q13363,P57682,0.5119081735610961,0.8979935646057121,0.04953662678599301,0.041882105171680006
564,TFDP1,KLF3,Q14186,P57682,0.5119081735610961,0.8979935646057121,0.19018901884555803,0.300499498844146
565,ZMYM3,KLF3,Q14202,P57682,0.5119081735610961,0.8979935646057121,0.839294135570526,0.6246735453605651
566,ARID5B,KLF3,Q14865,P57682,0.5119081735610961,0.8979935646057121,0.34524869918823203,0.470089584589004
567,RBBP5,KLF3,Q15291,P57682,0.5119081735610961,0.8979935646057121,0.30069702863693204,0.7695158720016481
568,ZFHX3,KLF3,Q15911,P57682,0.5119081735610961,0.8979935646057121,0.871009528636932,0.671064734458923
569,TAF12,KLF3,Q16514,P57682,0.5119081735610961,0.8979935646057121,0.09195311367511701,0.17724004387855502
570,RFX7,KLF3,Q2KHR2,P57682,0.5119081735610961,0.8979935646057121,0.874180614948272,0.8431738018989561
571,QSER1,KLF3,Q2KHR3,P57682,0.5119081735610961,0.8979935646057121,0.8550639152526851,0.9052276611328121
