,Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
898,EYA4,TPRX1,O95677,Q8N7U7,0.6948083639144891,0.08189262449741301,0.920278668403625,0.846840262413024
899,ESRP2,TPRX1,Q9H6T0,Q8N7U7,0.6948083639144891,0.08189262449741301,0.08741116523742601,0.062109589576721004
900,ZMIZ1,TPRX1,Q9ULJ6,Q8N7U7,0.6948083639144891,0.08189262449741301,0.8898990750312801,0.437521785497665
901,,TPRX1,TPRX2_ORF,Q8N7U7,0.6948083639144891,0.08189262449741301,,
902,ACTN4,TPRX1,O43707,Q8N7U7,0.6948083639144891,0.08189262449741301,0.8169784545898431,0.9432820081710811
903,AKAP8,TPRX1,O43823,Q8N7U7,0.6948083639144891,0.08189262449741301,0.929825782775878,0.8914829492568971
904,PTBP1,TPRX1,P26599,Q8N7U7,0.6948083639144891,0.08189262449741301,0.611766576766967,0.9069682359695431
905,HNRNPM,TPRX1,P52272,Q8N7U7,0.6948083639144891,0.08189262449741301,0.8337320089340211,0.806473612785339
906,ATN1,TPRX1,P54259,Q8N7U7,0.6948083639144891,0.08189262449741301,0.9291383028030391,0.795231759548187
907,EP300,TPRX1,Q09472,Q8N7U7,0.6948083639144891,0.08189262449741301,0.9226801991462701,0.7266434431076051
908,MIDEAS,TPRX1,Q6PJG2,Q8N7U7,0.6948083639144891,0.08189262449741301,0.9349083900451661,0.8523517847061151
909,C15orf39,TPRX1,Q6ZRI6,Q8N7U7,0.6948083639144891,0.08189262449741301,0.571849286556243,0.473922491073608
910,PAXIP1,TPRX1,Q6ZW49,Q8N7U7,0.6948083639144891,0.08189262449741301,0.643753767013549,0.7459143996238701
911,RAVER1,TPRX1,Q8IY67,Q8N7U7,0.6948083639144891,0.08189262449741301,0.552187025547027,0.46709433197975103
912,ZMIZ2,TPRX1,Q8NF64,Q8N7U7,0.6948083639144891,0.08189262449741301,0.825916290283203,0.645654201507568
913,DDX17,TPRX1,Q92841,Q8N7U7,0.6948083639144891,0.08189262449741301,0.9458964467048641,0.8992398977279661
914,DAZAP1,TPRX1,Q96EP5,Q8N7U7,0.6948083639144891,0.08189262449741301,0.927461624145507,0.676906406879425
915,DNTTIP1,TPRX1,Q9H147,Q8N7U7,0.6948083639144891,0.08189262449741301,0.055550336837768007,0.48788499832153304
916,FBRS,TPRX1,Q9HAH7,Q8N7U7,0.6948083639144891,0.08189262449741301,0.703687310218811,0.48786839842796303
917,FBRSL1,TPRX1,Q9HCM7,Q8N7U7,0.6948083639144891,0.08189262449741301,0.6004452705383301,0.353628784418106
918,SALL1,TPRX1,Q9NSC2,Q8N7U7,0.6948083639144891,0.08189262449741301,0.23619778454303703,0.514240384101867
919,PRR12,TPRX1,Q9ULL5,Q8N7U7,0.6948083639144891,0.08189262449741301,0.9016374349594111,0.7530444860458371
920,NCOA3,TPRX1,Q9Y6Q9,Q8N7U7,0.6948083639144891,0.08189262449741301,0.941364169120788,0.8644773364067071
