,Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
1124,LRIF1,ZSCAN4,Q5T3J3,Q8NAM6,0.08750656992197,0.09752152860164601,0.49095731973648005,0.670856118202209
1125,INO80E,ZSCAN4,Q8NBZ0,Q8NAM6,0.08750656992197,0.09752152860164601,0.8272409439086911,0.5003473758697511
1126,AKAP8L,ZSCAN4,Q9ULX6,Q8NAM6,0.08750656992197,0.09752152860164601,0.88402384519577,0.93467503786087
1127,RFXANK,ZSCAN4,O14593,Q8NAM6,0.08750656992197,0.09752152860164601,0.057413391768932,0.04844268783926901
1128,SETD1A,ZSCAN4,O15047,Q8NAM6,0.08750656992197,0.09752152860164601,0.8975480794906611,0.8898701667785641
1129,ZNF536,ZSCAN4,O15090,Q8NAM6,0.08750656992197,0.09752152860164601,0.101045347750186,0.072728842496871
1130,SMARCA5,ZSCAN4,O60264,Q8NAM6,0.08750656992197,0.09752152860164601,0.552547931671142,0.8939219713211061
1131,ZNF217,ZSCAN4,O75362,Q8NAM6,0.08750656992197,0.09752152860164601,0.8150327801704401,0.7866553068161011
1132,WIZ,ZSCAN4,O95785,Q8NAM6,0.08750656992197,0.09752152860164601,0.31783673167228704,0.422071635723114
1133,HIRA,ZSCAN4,P54198,Q8NAM6,0.08750656992197,0.09752152860164601,0.27421548962593,0.290708720684051
1134,KMT2A,ZSCAN4,Q03164,Q8NAM6,0.08750656992197,0.09752152860164601,0.894177913665771,0.6923249959945671
1135,BPTF,ZSCAN4,Q12830,Q8NAM6,0.08750656992197,0.09752152860164601,0.931955814361572,0.765294730663299
1136,CBX2,ZSCAN4,Q14781,Q8NAM6,0.08750656992197,0.09752152860164601,0.923794150352478,0.514031529426574
1137,ZMYM4,ZSCAN4,Q5VZL5,Q8NAM6,0.08750656992197,0.09752152860164601,0.632875621318817,0.882994651794433
1138,NFRKB,ZSCAN4,Q6P4R8,Q8NAM6,0.08750656992197,0.09752152860164601,0.41714200377464206,0.297662645578384
1139,MIDEAS,ZSCAN4,Q6PJG2,Q8NAM6,0.08750656992197,0.09752152860164601,0.9349083900451661,0.8523517847061151
1140,UBN2,ZSCAN4,Q6ZU65,Q8NAM6,0.08750656992197,0.09752152860164601,0.616424441337585,0.684342086315155
1141,ASXL2,ZSCAN4,Q76L83,Q8NAM6,0.08750656992197,0.09752152860164601,0.8904349207878111,0.763330459594726
1142,POGZ,ZSCAN4,Q7Z3K3,Q8NAM6,0.08750656992197,0.09752152860164601,0.7502111196517941,0.7358680963516231
1143,EMSY,ZSCAN4,Q7Z589,Q8NAM6,0.08750656992197,0.09752152860164601,0.8583018183708191,0.7716549634933471
1144,MGA,ZSCAN4,Q8IWI9,Q8NAM6,0.08750656992197,0.09752152860164601,0.89863908290863,0.6139672994613641
1145,ZNF687,ZSCAN4,Q8N1G0,Q8NAM6,0.08750656992197,0.09752152860164601,0.7840780019760131,0.598265707492828
1146,MORC4,ZSCAN4,Q8TE76,Q8NAM6,0.08750656992197,0.09752152860164601,0.05171655490994401,0.32281261682510304
1147,ZNF516,ZSCAN4,Q92618,Q8NAM6,0.08750656992197,0.09752152860164601,0.189256697893142,0.46801382303237904
1148,RREB1,ZSCAN4,Q92766,Q8NAM6,0.08750656992197,0.09752152860164601,0.8091465830802911,0.41972094774246205
1149,KAT2A,ZSCAN4,Q92830,Q8NAM6,0.08750656992197,0.09752152860164601,0.317253559827804,0.11975347995758001
1150,KAT2B,ZSCAN4,Q92831,Q8NAM6,0.08750656992197,0.09752152860164601,0.15181677043437902,0.5737894773483271
1151,KAT5,ZSCAN4,Q92993,Q8NAM6,0.08750656992197,0.09752152860164601,0.19866599142551403,0.776988446712493
1152,PHF21A,ZSCAN4,Q96BD5,Q8NAM6,0.08750656992197,0.09752152860164601,0.720266282558441,0.691616415977478
1153,ZNF462,ZSCAN4,Q96JM2,Q8NAM6,0.08750656992197,0.09752152860164601,0.611397445201873,0.7868652939796441
1154,ZNF512B,ZSCAN4,Q96KM6,Q8NAM6,0.08750656992197,0.09752152860164601,0.679442405700683,0.532916188240051
1155,EHMT2,ZSCAN4,Q96KQ7,Q8NAM6,0.08750656992197,0.09752152860164601,0.632556796073913,0.694043636322021
1156,EP400,ZSCAN4,Q96L91,Q8NAM6,0.08750656992197,0.09752152860164601,0.9262725710868831,0.8487218618392941
1157,PHF12,ZSCAN4,Q96QT6,Q8NAM6,0.08750656992197,0.09752152860164601,0.452909469604492,0.712287425994873
1158,ARID3A,ZSCAN4,Q99856,Q8NAM6,0.08750656992197,0.09752152860164601,0.8628880381584161,0.8800581693649291
1159,PCGF6,ZSCAN4,Q9BYE7,Q8NAM6,0.08750656992197,0.09752152860164601,0.24426695704460102,0.6908073425292961
1160,EPC1,ZSCAN4,Q9H2F5,Q8NAM6,0.08750656992197,0.09752152860164601,0.569348692893981,0.697648406028747
1161,ZNF644,ZSCAN4,Q9H582,Q8NAM6,0.08750656992197,0.09752152860164601,0.053212106227874006,0.6640492677688591
1162,ACTR8,ZSCAN4,Q9H981,Q8NAM6,0.08750656992197,0.09752152860164601,0.04987857118248901,0.358847707509994
1163,EHMT1,ZSCAN4,Q9H9B1,Q8NAM6,0.08750656992197,0.09752152860164601,0.056311398744583005,0.5437101721763611
