,protein_list,cos.sim,mean_cossim,pv
0,"O75688P56211,O75688Q8IV61,O75688Q15843,O75688Q9UKJ3,O14653O75688,O75688P09234,O75688Q96MT7,O75688Q8IYT8,O75688Q96N38,O60469O75688,O75688Q6MZM0,O75688O94760,O75688P86479,O75688Q16585,O75688Q96HY6,O75688Q9Y2X0,O75688Q8TAP4,O75688Q9HCL2,O75688Q8N130,O75688P31267,O75688Q9P2H3,O75688Q8IY26,O75688Q68DH5,O75688Q8N5I3,O75688P55085","0.2977433502674103,0.2001871615648269,0.4485785067081451,0.5896206498146057,0.2762910723686218,0.422062873840332,0.3677212595939636,0.5045995116233826,0.3381724953651428,0.2784852385520935,0.3778810501098633,0.4621198773384094,0.5716179609298706,0.1648882329463958,0.4693195819854736,0.581659197807312,0.4153993725776672,0.2652431428432464,0.1604390442371368,0.1069531291723251,0.2939463853836059,0.3531442582607269,0.1717505156993866,0.3972353637218475,0.3687098324298858",0.3553507626056671,0.0007816617837163187
1,"B7U540O75688,O75688P69905,O75688Q8WV74,O75688P53701,O75145O75688,O75688P17097,O75688Q15526,O75688Q8TF20,O75688Q13043,O75688Q8TCP9,O75688Q7Z5L2,O75688Q14847,O75688P00352,O75688Q8NCM8,O75688Q8IXB1,O15085O75688,O75688Q92902,O75688Q9H7B7,O00624O75688,O75688P48230,O75688Q9NWB7,O75688Q9NQW6,O75688Q5GJ75,O75688Q9Y5F7,O75688Q6P2D0","0.1154695525765419,0.4488172531127929,0.2496605813503265,0.1305097639560699,0.4599388539791107,0.5035206079483032,0.311574786901474,0.4201526641845703,0.3501657545566559,0.1545382142066955,0.5030386447906494,0.4929562509059906,0.3029082119464874,0.563835620880127,0.3605446219444275,0.5826871395111084,0.3562494218349457,0.2250773012638092,0.2895066440105438,0.2203646004199981,0.4568660259246826,0.6727949380874634,0.239797905087471,0.3640196323394775,0.5720416307449341",0.37388146489858626,0.005514583345550592
2,"O75688Q6ZMZ3,O75688Q96S06,O75688Q66K89,O75688Q9NWF4,O75688Q9HCZ1,O75688Q9H213,O75688Q9NQS1,O75688Q8TD33,O75688Q5VV67,O75688Q9UJT0,O75688Q9UM63,O00458O75688,O75688Q9HC96,O75688Q14978,O75688Q9BYD9,O75688P02545,O75688Q86X83,O75688Q9BXJ0,O75688Q15257,O60258O75688,O75688Q99677,O75688Q8IW19,O75688P02511,O75688Q96P70,O75688Q9H871","0.2968547344207763,0.2577573955059051,0.4625650942325592,0.2573351562023163,0.0572979822754859,0.2597593367099762,0.4879910051822662,0.2424520552158355,0.510539710521698,0.3312881588935852,0.2403373718261718,0.1927497088909149,0.1963435858488083,0.5876268744468689,0.0334129557013511,0.5554803609848022,0.4242900013923645,0.3776052594184875,0.4973738193511963,0.453930914402008,0.4180805087089538,0.6204448938369751,0.4562225341796875,0.5998775362968445,0.4133403897285461",0.3692382937669754,0.01102410563951766
3,"O75688Q9UMS5,O75688Q8N668,O75688Q5JTD0,O75688P26373,O75688Q9H9D4,O75688P42338,O75688P84243,O75688Q8N801,O75688Q08554,O75688P54920,O60476O75688,O75688Q86WU2,O75683O75688,O75688P61457,O75688Q96QE2,O75688P28330,A8MZ97O75688,A8MV81O75688,O75688Q96PC3,O75688Q9NRX1,O75688Q5JTC6,O75688Q6Q8B3,O75688Q06187,O75688P59768,O75688Q92934","0.095127560198307,0.48272904753685,0.45516437292099,0.5364750623703003,0.3818510770797729,0.3981278538703918,0.5517974495887756,0.1128916889429092,0.2734894156455993,0.2683394849300384,0.2120091021060943,0.5248173475265503,0.5292482376098633,0.5195896029472351,0.232508584856987,0.3036353588104248,0.0915819406509399,0.4052073359489441,0.5007336735725403,0.5611361265182495,0.4687929153442383,0.2791582643985748,0.49168461561203,0.41534224152565,0.0999663770198822",0.36765618950128554,0.01985744501134389
4,"O75688O95835,O75688Q14764,O75688Q13017,O75688Q8NI35,A6NI28O75688,O75688Q8IWV8,O75688Q9UJT2,O43617O75688,O75688Q9P1Y5,O75688Q9ULG6,O75688Q5ZPR3,O75688Q9BWU1,O75688Q15776,O75688Q6IA69,O75688Q14722,O75688Q8WYN0,O75688P37058,O75688P19022,O75688Q8TAG5,O14530O75688,O75688P62502,O75688Q3ZCT1,O75688P40818,O75688Q9GZV1,O75688Q1ZZU3","0.5656793713569641,0.480652242898941,0.5587519407272339,0.4473922848701477,0.3993316888809204,0.2870131433010101,0.5273410677909851,0.2781277298927307,0.5813018679618835,0.277033120393753,0.2700420022010803,0.5729926824569702,0.4534056186676025,0.530608594417572,0.03971504047513,0.2432759702205658,0.3458961844444275,0.4369922280311584,0.2309722900390625,0.4035412669181824,0.3154309093952179,0.2013512849807739,0.3401318490505218,0.4010937809944153,0.0547211691737175",0.3697118131816387,0.009443727309229615
5,"O75688Q86YW9,A8MVS5O75688,O75688P46695,O75688Q9BV44,O75688Q9Y6K1,O75688Q9BVW5,O75460O75688,O75688Q14814,O75688Q86VE0,O75688P21796,O75688Q16667,O75594O75688,O75688Q5T0J3,O75155O75688,O75688P16591,O75688O95139,O75688P62875,O75688Q68DA7,O75688Q7Z769,O75688Q9BQG2,O75688Q14997,O75688Q15485,O75688Q8TF42,O75688P46060,O75688P15622","0.5425445437431335,0.4554794430732727,0.2478956282138824,0.5630360245704651,0.4338523745536804,0.4736894965171814,0.2600045502185821,0.5398085117340088,0.3931313157081604,0.3838914632797241,0.4645783007144928,0.2489973306655883,0.1561226695775985,0.4037217199802398,0.4314230978488922,0.1645963490009308,0.5168105959892273,0.1744621098041534,0.3165818750858307,0.4273808598518371,0.4425567984580993,0.0864464491605758,0.4996294975280761,0.5251115560531616,0.4444119036197662",0.38384657859802246,0.014170916348690617
6,"O75688O95340,O75688Q8N196,O75688Q9H251,O75688Q3LI66,O75688Q07157,O75688Q5TKA1,O75688Q9Y3P9,O75688P60604,O75688P28072,O75688P54107,O75688Q6P9H4,O15467O75688,O75688Q9Y2B4,O75688Q6EEV6,O75688Q8WUY9,O43653O75688,O75688Q8NE31,O75688Q9HCG7,O75688Q9H8G1,O75688Q9BQS8,O75688Q9BX95,O75688P83876,O75688P56270,O75688Q4ADV7,O75688Q9P0J1","0.3620030283927917,0.529464840888977,0.4356419444084167,0.4307731986045837,0.5765024423599243,0.4984377920627594,0.5364328622817993,0.2029325515031814,0.4546516537666321,0.0362354256212711,0.3690242171287536,0.3864289224147796,0.3500179648399353,0.2444584667682647,0.4458457827568054,0.2820772528648376,0.4243767857551574,0.4150884747505188,0.3868319988250732,0.4449166655540466,0.2876845002174377,0.4660778045654297,0.2946007251739502,0.2945123016834259,0.2970724105834961",0.37808360055088996,0.0014038690748747731
7,"O75688P54920,O75688Q9BUU2,O75688Q5DX21,O75688Q9Y2D2,O75688Q9UMD9,O60575O75688,O75688Q96QR1,O75688P17658,O75688Q8NG11,O75688Q9H0K6,O75688Q8WYN0,O75688Q9UHP3,O75688Q15102,O75688Q9Y6Z7,O75688Q15517,O75688Q14203,O75688P0DMS8,O75688P14384,O75688Q9P2N7,O75600O75688,O75688Q8NBT0,O75688Q6PEW1,O75688Q9NVN3,O75688Q8TEQ0,O75688P29144","0.2683394849300384,0.2365607321262359,0.4236110746860504,0.011487578973174,0.4656295776367187,0.1787124574184417,0.0981759876012802,0.1175486072897911,0.2222717702388763,0.2942666709423065,0.2432759702205658,0.4849128127098083,0.3041971325874328,0.2686032354831695,0.4399989247322082,0.5929113030433655,0.1838280260562896,0.5577631592750549,0.4341231286525726,0.3242887258529663,0.5381748080253601,0.4000196456909179,0.4044379591941833,0.4854561686515808,0.5460608601570129",0.3409862320870161,0.0024509305191371335
8,"O75688Q6P6B7,O75688P29508,O75688Q8WXF1,O75688Q6ZSB9,O75688Q9UHE8,O75688Q86XI2,O75688P19875,O75688Q9BY64,O75688Q96C24,O75688Q9H3Q1,O75688P40199,O75688Q9HCH5,O75688Q99570,O75688P49788,O75688Q96AQ8,O75688P54849,O75688Q6UXY1,O75688P0C860,O75688Q9BQB6,O75688Q9H2B2,O75688O95498,A0AVI4O75688,O75688P13473,O75688Q9HBA9,O75688Q15785","0.3158699870109558,0.5041230320930481,0.4296624660491943,0.4662215709686279,0.1279666274785995,0.3396651446819305,0.0787661522626876,0.1286959648132324,0.4761041700839996,0.4075374007225036,0.5882581472396851,0.2827674150466919,0.4171430170536041,0.520392119884491,0.1594605147838592,0.3213987350463867,0.3380596339702606,0.294137179851532,0.3411354124546051,0.4132137894630432,0.3695562481880188,0.0738708227872848,0.4381479620933532,0.1710074692964553,0.5342354774475098",0.34149585843086244,0.0005970703723173974
9,"O75688Q9H209,O75688Q676U5,O60609O75688,O75688Q8ND56,O75688Q96LZ2,O75688Q8NCL4,O75688P46092,O75688Q96RD9,A1KZ92O75688,O75688Q9NYJ7,O75688Q5VVJ2,O75688Q5SRE7,O75688Q16643,O75688Q86SU0,O14524O75688,B4DXR9O75688,O75688Q14241,O75688Q9BV19,O75688Q9H840,O75688Q5VUM1,O15370O75688,O75688Q9NS87,O75688Q96G03,O75688Q9H0V9,O75688Q14781","0.0851793885231018,0.4818699955940246,0.2165184319019317,0.5425821542739868,0.4521453380584717,0.262143075466156,0.1662652343511581,0.2881710529327392,0.2058048695325851,0.2134094685316085,0.5127795934677124,0.385219007730484,0.6006088256835938,0.2746385633945465,0.3129700720310211,0.3015481829643249,0.5213140249252319,0.3656071722507477,0.4545141756534576,0.1555915772914886,0.1844238042831421,0.484192430973053,0.3044964671134949,0.3324850499629974,0.4409429132938385",0.34181683480739594,0.0006836409650876575
