,Prey_uniprot,cossim
0,A0A024RBG1O60942,0.05631570890545845
1,A0A087WUL8O60942,0.3527306914329529
2,A0A087X1G2O60942,0.32521045207977295
3,A0A096LP49O60942,0.48475131392478943
4,A0A0B4J2A2O60942,0.28328269720077515
5,A0A0B4J2D5O60942,0.33712151646614075
6,A0A0U1RQF7O60942,0.40698760747909546
7,A0A1B0GTR3O60942,0.436886727809906
8,A0A1B0GTZ2O60942,0.44214779138565063
9,A0A1B0GUV7O60942,0.2952001094818115
10,A0AUZ9O60942,0.29507309198379517
11,A0AV02O60942,0.1287371814250946
12,A0AV96O60942,0.5326703190803528
13,A0AVF1O60942,0.40846961736679077
14,A0AVI4O60942,0.004911293275654316
15,A0AVK6O60942,0.4466961920261383
16,A0AVT1O60942,0.4303646981716156
17,A0FGR8O60942,0.364533394575119
18,A0JLT2O60942,0.5355788469314575
19,A0JNW5O60942,0.40541037917137146
20,A0JP26O60942,0.16229017078876495
21,A0M8Q6O60942,0.2565816342830658
22,A0MZ66O60942,0.485341876745224
23,A0PG75O60942,0.4457680583000183
24,A0PJE2O60942,0.0487738698720932
25,A0PJK1O60942,0.3045298755168915
26,A0PJW6O60942,0.07857771217823029
27,A0PJW8O60942,0.32161957025527954
28,A0PJX0O60942,0.1827975958585739
29,A0PJX2O60942,0.12571528553962708
30,A0PJX4O60942,0.14071692526340485
31,A0PJX8O60942,0.0078938202932477
32,A0PJY2O60942,0.2507219910621643
33,A0PJZ3O60942,0.029031645506620407
34,A0PK00O60942,0.17477592825889587
35,A0PK05O60942,0.11990801244974136
36,A0PK11O60942,0.00760021572932601
37,A1A4F0O60942,0.2835848331451416
38,A1A4G5O60942,0.31179699301719666
39,A1A4S6O60942,0.35279038548469543
40,A1A4Y4O60942,0.2502274811267853
41,A1A519O60942,0.39301544427871704
42,A1A580O60942,0.26332029700279236
43,A1A5B4O60942,0.18926647305488586
44,A1A5C7O60942,0.14880351722240448
45,A1A5D9O60942,0.27346986532211304
46,A1E959O60942,0.4056856036186218
47,A1IGU5O60942,0.09118199348449707
48,A1KXE4O60942,0.5323594212532043
49,A1KZ92O60942,0.12303632497787476
50,A1L020O60942,0.30274128913879395
51,A1L0T0O60942,0.4462943971157074
52,A1L157O60942,0.07175787538290024
53,A1L162O60942,0.34871774911880493
54,A1L168O60942,0.5028645396232605
55,A1L170O60942,0.4564291536808014
56,A1L188O60942,0.06011533737182617
57,A1L190O60942,0.4101274013519287
58,A1L390O60942,0.4344883859157562
59,A1L3X0O60942,0.12536178529262543
60,A1L443O60942,0.5086498856544495
61,A1L4H1O60942,0.32373589277267456
62,A1L4K1O60942,0.510502278804779
63,A1L4L8O60942,0.16571632027626038
64,A1X283O60942,0.4678567945957184
65,A1XBS5O60942,0.3168310821056366
66,A1YPR0O60942,0.48585134744644165
67,A1Z1Q3O60942,0.22033271193504333
68,A2A2V5O60942,0.1244126558303833
69,A2A2Y4O60942,0.16161267459392548
70,A2A368O60942,0.13546232879161835
71,A2A3K4O60942,0.41506749391555786
72,A2A3N6O60942,0.383926123380661
73,A2AJT9O60942,0.26094406843185425
74,A2IDD5O60942,0.03054242953658104
75,A2RRD8O60942,0.37600237131118774
76,A2RRH5O60942,0.10208211094141006
77,A2RRL7O60942,0.13439618051052094
78,A2RRP1O60942,0.2028113603591919
79,A2RTX5O60942,0.14732065796852112
80,A2RTY3O60942,0.25728410482406616
81,A2RU14O60942,0.13293476402759552
82,A2RU30O60942,0.18780916929244995
83,A2RU37O60942,0.28106293082237244
84,A2RU48O60942,0.139474019408226
85,A2RU49O60942,0.21072736382484436
86,A2RU67O60942,0.32213276624679565
87,A2RUB1O60942,0.2128489762544632
88,A2RUB6O60942,0.4658302366733551
89,A2RUC4O60942,0.32232609391212463
90,A2RUG3O60942,0.15730305016040802
91,A2RUH7O60942,0.11479731649160385
92,A2RUQ5O60942,0.12450768798589706
93,A2RUS2O60942,0.09539119154214859
94,A2RUT3O60942,0.03868371993303299
95,A2RUU4O60942,0.14223644137382507
96,A2VCK2O60942,0.22434012591838837
97,A2VDF0O60942,0.18366125226020813
98,A2VDJ0O60942,0.17135000228881836
99,A3KMH1O60942,0.28929832577705383
100,A3KN83O60942,0.5768498182296753
101,A4D0S4O60942,0.1019366979598999
102,A4D161O60942,0.2953636348247528
103,A4D1E9O60942,0.5040944814682007
104,A4D1P6O60942,0.36471015214920044
105,A4D1S0O60942,0.4600306451320648
106,A4D1S5O60942,0.03831595927476883
107,A4D1T9O60942,0.25988849997520447
108,A4D1U4O60942,0.20405057072639465
109,A4D2B0O60942,0.22058305144309998
110,A4D2G3O60942,0.039060257375240326
111,A4D2P6O60942,0.25021106004714966
112,A4FU01O60942,0.30594977736473083
113,A4FU69O60942,0.2914596498012543
114,A4GXA9O60942,0.09855809807777405
115,A4QMS7O60942,0.24030545353889465
116,A4QPH2O60942,0.4408513605594635
117,A4UGR9O60942,0.2789258360862732
118,A5A3E0O60942,0.32841017842292786
119,A5D8T8O60942,0.041375864297151566
120,A5D8V6O60942,0.5483858585357666
121,A5D8V7O60942,0.366727739572525
122,A5D8W1O60942,0.22925631701946259
123,A5LHX3O60942,0.29724764823913574
124,A5PL33O60942,0.3597926199436188
125,A5PLL7O60942,0.030057042837142944
126,A5PLN9O60942,0.3040984869003296
127,A5X5Y0O60942,0.04581967368721962
128,A5YKK6O60942,0.45655885338783264
129,A5YM69O60942,0.2038622796535492
130,A6BM72O60942,0.26956644654273987
131,A6H8M9O60942,0.02316095307469368
132,A6H8Y1O60942,0.45327630639076233
133,A6H8Z2O60942,0.2773524224758148
134,A6NC42O60942,0.2813076972961426
135,A6NC98O60942,0.33083027601242065
136,A6NCE7O60942,0.14465345442295074
137,A6NCF5O60942,0.01933477446436882
138,A6NCL1O60942,0.17581099271774292
139,A6NCL7O60942,0.10001842677593231
140,A6NCN2O60942,0.23488347232341766
141,A6NCS6O60942,0.054365843534469604
142,A6ND36O60942,0.4549999237060547
143,A6ND48O60942,0.025157134979963303
144,A6ND91O60942,0.40081411600112915
145,A6NDB9O60942,0.017280833795666695
146,A6NDG6O60942,0.15236619114875793
147,A6NDK9O60942,0.21516403555870056
148,A6NDN3O60942,0.20922596752643585
149,A6NDP7O60942,0.19805532693862915
150,A6NDS4O60942,0.31518521904945374
151,A6NDU8O60942,0.1546548455953598
152,A6NDV4O60942,0.03128829598426819
153,A6NDY0O60942,0.3495197594165802
154,A6NE02O60942,0.24705703556537628
155,A6NE82O60942,0.09626909345388412
156,A6NED2O60942,0.40215224027633667
157,A6NEL2O60942,0.24630816280841827
158,A6NEM1O60942,0.46773895621299744
159,A6NEQ0O60942,0.29244524240493774
160,A6NER0O60942,0.03215596079826355
161,A6NER3O60942,0.20378729701042175
162,A6NFD8O60942,0.3189234137535095
163,A6NFI3O60942,0.3869820237159729
164,A6NFN3O60942,0.346719890832901
165,A6NFQ2O60942,0.09975247085094452
166,A6NFU0O60942,0.23012618720531464
167,A6NFY4O60942,0.027549555525183678
168,A6NFY7O60942,0.09412218630313873
169,A6NGB9O60942,0.5321520566940308
170,A6NGC4O60942,0.09272705018520355
171,A6NGK3O60942,0.19959092140197754
172,A6NGQ2O60942,0.33902761340141296
173,A6NGR9O60942,0.1411445587873459
174,A6NGS2O60942,0.20015552639961243
175,A6NGU5O60942,0.030952882021665573
176,A6NH52O60942,0.13061241805553436
177,A6NHC0O60942,0.505663275718689
178,A6NHJ4O60942,0.08933756500482559
179,A6NHL2O60942,0.1476902961730957
180,A6NHP3O60942,0.5591173768043518
181,A6NHQ2O60942,0.4601939618587494
182,A6NHQ4O60942,0.312823623418808
183,A6NHR9O60942,0.45779889822006226
184,A6NHX0O60942,0.3021996021270752
185,A6NHZ5O60942,0.1526639759540558
186,A6NI15O60942,0.40492790937423706
187,A6NI28O60942,0.4158266484737396
188,A6NI73O60942,0.17001424729824066
189,A6NI79O60942,0.3158084452152252
190,A6NIH7O60942,0.47275862097740173
191,A6NIX2O60942,0.06113056093454361
192,A6NIZ1O60942,0.4318123459815979
193,A6NJ78O60942,0.3035009801387787
194,A6NJB7O60942,0.19276562333106995
195,A6NJL1O60942,0.43582144379615784
196,A6NJU9O60942,0.13583479821681976
197,A6NJZ7O60942,0.286905437707901
198,A6NK44O60942,0.10421907901763916
199,A6NK58O60942,0.22849738597869873
200,A6NK59O60942,0.17020907998085022
201,A6NK89O60942,0.39728716015815735
202,A6NKB5O60942,0.06244388967752457
203,A6NKD2O60942,0.17238739132881165
204,A6NKD9O60942,0.48900699615478516
205,A6NKF2O60942,0.2568487226963043
206,A6NKK0O60942,0.08802106976509094
207,A6NKQ9O60942,0.10557705163955688
208,A6NKT7O60942,0.43997445702552795
209,A6NKU9O60942,0.23265290260314941
210,A6NLJ0O60942,0.3346976637840271
211,A6NLU0O60942,0.2849224805831909
212,A6NLX3O60942,0.36846163868904114
213,A6NM10O60942,0.17498429119586945
214,A6NM11O60942,0.17058907449245453
215,A6NMB1O60942,0.07155940681695938
216,A6NMB9O60942,0.2981698215007782
217,A6NMD0O60942,0.14388307929039001
218,A6NMD2O60942,0.18777984380722046
219,A6NMK7O60942,0.4932788014411926
220,A6NMT0O60942,0.06965038925409317
221,A6NMX2O60942,0.2839891016483307
222,A6NMY6O60942,0.421928733587265
223,A6NNB3O60942,0.07754068821668625
224,A6NNF4O60942,0.060687094926834106
225,A6NNL5O60942,0.07049217820167542
226,A6NNX1O60942,0.16040724515914917
227,A6NNY8O60942,0.46341902017593384
228,A6NNZ2O60942,0.07584058493375778
229,A6NP61O60942,0.35608407855033875
230,A6QL63O60942,0.1809137761592865
231,A6QL64O60942,0.44266024231910706
232,A6XGL0O60942,0.16635394096374512
233,A6ZKI3O60942,0.31573548913002014
234,A7E2F4O60942,0.16498497128486633
235,A7E2U8O60942,0.33922797441482544
236,A7E2V4O60942,0.3110232949256897
237,A7E2Y1O60942,0.35946041345596313
238,A7KAX9O60942,0.4397198259830475
239,A7MCY6O60942,0.3302959203720093
240,A7MD48O60942,0.4545387327671051
241,A8CG34O60942,0.6337072253227234
242,A8K0Z3O60942,0.4002434313297272
243,A8K2U0O60942,0.24613544344902039
244,A8K4G0O60942,0.1509810835123062
245,A8K855O60942,0.43403133749961853
246,A8K8P3O60942,0.07129299640655518
247,A8K8V0O60942,0.34719157218933105
248,A8K979O60942,0.2741886079311371
249,A8MPP1O60942,0.0657263845205307
250,A8MPS7O60942,0.3982411026954651
251,A8MQ03O60942,0.33423155546188354
252,A8MQ11O60942,0.3197180926799774
253,A8MQ14O60942,0.23355276882648468
254,A8MRT5O60942,0.14368833601474762
255,A8MT33O60942,0.4222458302974701
256,A8MT65O60942,0.008934338577091694
257,A8MT69O60942,0.291792094707489
258,A8MT70O60942,0.1481643170118332
259,A8MTA8O60942,0.4245759844779968
260,A8MTJ3O60942,0.11115135997533798
261,A8MTQ0O60942,0.49207234382629395
262,A8MTY0O60942,0.3677443861961365
263,A8MU46O60942,0.26329338550567627
264,A8MUP2O60942,0.28840580582618713
265,A8MV65O60942,0.3815334141254425
266,A8MV81O60942,0.21396586298942566
267,A8MVS5O60942,0.40700140595436096
268,A8MVW0O60942,0.2836916148662567
269,A8MVW5O60942,0.2749863266944885
270,A8MW92O60942,0.3885733485221863
271,A8MW99O60942,0.25031405687332153
272,A8MWD9O60942,0.35418272018432617
273,A8MWX3O60942,0.4865529537200928
274,A8MWY0O60942,0.09865578263998032
275,A8MXD5O60942,0.3800666928291321
276,A8MXJ8O60942,0.30530494451522827
277,A8MXV4O60942,0.15639981627464294
278,A8MXV6O60942,0.02009221352636814
279,A8MYP8O60942,0.12088437378406525
280,A8MZ59O60942,0.34527403116226196
281,A8MZ97O60942,0.06723751127719879
282,A8MZA4O60942,0.07394833862781525
