Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,4,0.3648,2.189,48.62,0.03722,0.984809,"Q92620 Q8TAP9 Q07666 Q9UK59"
2,6,0.3391,5.087,68.42,0.05949,0.998474,"P20248 Q92793 Q16763 Q5FWF5 Q09472 Q99966"
3,16,0.3582,42.98,188.2,0.1633,0.801781,"Q9P0V9 Q15019 Q16181 Q6ZU15 Q8WYJ6 Q9UH03 Q9H3Q1 Q14141 Q9NVA2 Q99719 Q92599 Q96C90 Q8IYM1 O43236 Q96P50 Q8IZX4"
4,4,0.3704,2.222,30.86,0.05410,0.992931,"Q16385 Q8NG81 Q96MH6 P08263"
5,28,0.3007,113.7,822.7,0.1145,1.00000,"O00767 Q9NZ01 P36542 P08574 Q9Y6C9 P62820 P22695 P48047 Q00325 P21796 P00403 P24539 P05023 Q9NZJ7 O75964 Q53GQ0 Q9UNL2 O14949 O96008 P45880 Q9Y277 P39656 P51571 P35232 Q9NS69 A1L0T0 Q9H0U3 P05026"
6,23,0.2860,72.36,622.6,0.09766,0.999843,"Q86Y82 Q9UNK0 O15155 O75379 Q13190 O95183 O75396 Q9UEU0 Q12981 O95721 Q9P2W9 Q6NUQ1 Q99747 Q9UFG5 Q9NZ43 Q8WVM8 O43264 A2RRP1 P54920 Q9NYM9 Q8WU76 Q96AJ9 Q8NFX7"
7,14,0.3301,30.04,142.3,0.1499,0.997642,"P78364 Q3KNV8 Q99496 Q06587 Q8IXK0 Q9UQR0 O00257 P35227 O95931 Q8NDX5 P35226 Q96GD3 Q5VUG0 Q86UU1"
8,22,0.2962,68.42,301.7,0.1652,0.991935,"Q5HYW2 Q8WUW1 Q96F07 Q9Y6W5 Q8NB15 O00401 Q7L576 Q8IZP0 Q9ULV8 Q8TE68 Q9P206 Q9Y2A7 Q92558 Q9UPY6 Q8IWW6 P16333 P55160 Q5SYE7 Q6NT52 Q400G9 Q56UQ5 O43150"
9,28,0.3199,120.9,309.8,0.2485,0.865661,"Q969G3 Q92785 Q9UHA2 Q8TAQ2 Q68CP9 O14497 Q86U86 Q9NPI1 O94805 Q8WUZ0 Q12824 Q8NFD5 Q6STE5 Q92925 O75177 Q92922 P51532 Q9NZM4 P51531 Q92784 Q9H8M2 Q4VC05 Q9BQE9 Q01201 O96019 Q15532 Q9BXU2 Q15620"
10,30,0.3006,130.8,885.8,0.1215,1.00000,"Q9NZ01 P36542 P08574 Q9Y6C9 P62820 Q9UM00 P22695 Q00325 P21796 P00403 Q9Y4W6 P24539 P05023 Q9NZJ7 O75964 Q53GQ0 O14949 O96008 P45880 Q9Y277 P39656 P51571 P35232 Q9NS69 A1L0T0 P28331 O00217 O75489 Q9H0U4 P05026"
11,16,0.3009,36.11,308.2,0.09596,0.999062,"Q10567 Q8N6T3 Q15811 Q59EK9 Q96CW1 O95782 P42566 O94973 Q9UBC2 Q9NZM3 Q9HC44 P53680 Q9NVZ3 P49418 Q9BQI5 P98077"
12,85,0.3002,1072,7384,0.1242,0.985314,"O95159 Q5VT25 O15400 P62330 Q96A22 Q03135 P78310 O75955 P17302 Q8N144 P11279 P13473 Q9UQV4 Q6IAA8 P06239 P07948 P29966 Q16625 Q96RD7 P62491 P61019 Q15286 P20338 P51148 P51151 P62745 O43752 O00559 Q9H2H9 Q9UJF2 O95661 Q9P2W7 P15311 Q8TAA9 Q9ULK5 Q8TEW0 Q13433 Q7KZI7 P27448 Q03001 Q16181 O95819 Q9Y2I1 O14654 Q96AC1 Q8IZ21 Q14126 Q9H792 O60716 Q86W92 Q9ULH0 Q9NYI0 Q8IXS6 P29317 P49257 P05023 Q13480 Q92738 Q12846 P05556 Q86YQ8 Q9Y2G0 Q14156 Q9H3P7 Q9UEY8 Q8NBN3 P55011 Q9BSJ8 O15498 P20020 Q9H2J7 Q12923 P41440 Q01650 Q96QD8 P48029 O15126 Q8WUY9 Q96J84 O15020 Q12959 Q15334 Q96TA1 Q6P995 Q9HCM3"
