Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,8,0.3036,8.500,184.1,0.04075,0.999679,"Q14241 Q49MG5 Q9NZ63 Q8NHP1 Q9BTM1 Q5JVS0 Q9BVS4 Q53QV2"
2,24,0.2488,68.66,277.5,0.1742,0.988651,"Q9HAH7 Q8IY57 Q86SE9 P61962 Q9BYE7 Q8N488 P78364 Q3KNV8 Q8WXX7 Q99496 Q06587 Q9HCM7 Q8IXK0 Q9UQR0 O00257 P35227 O95931 Q8NDX5 P35226 Q96GD3 Q9BSM1 Q5VUG0 Q8TDQ1 Q2M3V2"
3,5,0.3477,3.477,91.22,0.03321,0.996692,"Q9P265 O60637 P54753 P52799 P54756"
4,4,0.3099,1.859,44.63,0.03412,0.969699,"Q96AY4 Q9BRK5 Q9Y6H5 Q8TBZ2"
5,30,0.3070,133.5,525.9,0.1856,0.998974,"P36969 P68106 P49773 P61604 P37802 Q01469 Q9UI15 P62942 P22392 P29401 P00558 P52209 Q99714 P26038 P33316 P09972 Q01995 P26885 P23284 P55854 Q9NPH2 P42765 P06733 P15374 P09104 P04075 P78417 P13929 P52565 P05413"
6,6,0.3608,5.413,51.81,0.07819,0.998474,"Q15102 P23381 Q9Y224 O95456 P68402 Q96M27"
7,22,0.3027,69.93,642.0,0.09250,0.999944,"O14653 Q86Y82 Q9UNK0 O15155 O75379 Q13190 O95183 O75396 Q16623 Q12981 Q9P2W9 Q99747 Q9BV40 Q9NZ43 P32856 Q8WVM8 O43264 A2RRP1 P54920 Q8WU76 Q96AJ9 Q8NFX7"
8,15,0.3009,31.59,261.0,0.09794,0.980956,"O15145 P61160 P59998 O15143 O15144 Q8N3V7 Q9BPX5 Q8NCE2 O15511 Q92747 Q9HC78 Q9P1U1 Q8WUH1 Q96C19 O43365"
9,5,0.3116,3.116,71.64,0.03676,0.996692,"Q15637 Q86WR0 Q99439 Q9UJ70 Q6MZZ7"
10,7,0.3567,7.490,69.01,0.08276,0.937399,"O00401 Q8TF74 O43516 P16333 P42768 Q07890 A6NGB9"
11,6,0.3159,4.738,34.43,0.09259,0.993467,"Q5MJ07 P42785 P15259 P18669 Q8N0Y7 P07738"
12,24,0.3059,84.44,487.7,0.1362,0.999827,"Q08945 Q9BTT0 Q01831 Q9UEE9 P0C0S5 Q8N108 P0C0S8 Q96A08 Q7Z3K6 Q8N257 P04908 Q6FI13 Q16777 Q6PH81 O94880 Q6ZRQ5 Q3T8J9 Q14865 Q8IUE6 Q05BQ5 Q8IW19 Q96HA7 Q9UGN5 Q99880"
13,4,0.3653,2.192,55.35,0.03344,0.992931,"O15084 Q3SYB3 Q14679 Q6UW63"
14,4,0.3627,2.176,39.62,0.04370,0.557383,"Q76N32 P31323 Q9Y2R2 O60381"
15,7,0.3563,7.482,64.61,0.08691,0.985079,"Q2M389 Q9Y4E1 Q641Q2 Q12768 Q9NQA3 C4AMC7 Q8N7B1"
16,5,0.3227,3.227,42.21,0.05822,0.993907,"Q8NDL9 Q5FWF4 A8MPP1 Q8NHX9 Q96NW4"
17,32,0.3108,154.1,485.9,0.2189,0.799321,"Q9Y4A5 Q15014 Q9UBU8 Q9NPF5 Q15906 Q9GZN1 O95619 Q9H0E9 Q9NQC1 Q9UNL4 Q6PIV2 Q92993 Q9NV56 Q9HAF1 Q96L91 P0C0S5 Q92613 Q9Y230 Q8WYH8 Q96A08 P12524 Q9NXR8 O95251 Q6PJQ5 Q52LR7 Q6IE81 Q05BQ5 Q8WYB5 Q9HBJ0 Q86VZ6 Q9H2F5 Q6ZTU2"
18,5,0.3296,3.296,168.8,0.01810,0.264810,"P50222 Q9NPA2 Q13410 Q8N4W6 Q68DY9"
19,4,0.3244,1.947,92.84,0.01894,0.992931,"O76024 O14967 O96005 P17405"
20,23,0.3014,76.25,692.7,0.09356,0.999968,"O14653 Q86Y82 Q9UNK0 Q8N5M9 O15155 O75379 Q9H115 Q13190 Q13277 O95183 O75396 Q16623 Q12981 Q9P2W9 Q99747 Q9BV40 Q9NZ43 P32856 A2RRP1 P54920 O60499 O14662 Q8WU76"
21,41,0.3033,248.7,926.3,0.1979,0.999112,"P62306 Q15427 Q8WWY3 Q15428 Q7L2J0 O94906 Q15393 O75643 P62318 P62316 P62304 P62314 Q9HCS7 P14678 Q9Y4Y9 O43395 O43290 Q15020 P62308 Q9UK45 O43172 Q9H6E5 Q9P0M2 O43687 P08579 P63162 P09661 O43660 Q9UMS4 Q15459 Q12874 P54105 Q9Y333 P62310 O75554 O15116 P62312 Q9Y4Z0 O75533 O95777 Q8IYT2"
22,10,0.3037,13.67,233.5,0.05115,0.991371,"O95831 O75746 Q99623 Q9UJS0 P09622 Q9Y697 P36551 Q7KZN9 P49753 P83111"
23,39,0.2783,206.2,1608,0.1090,1.00000,"Q52LG2 P59990 A8MQ03 Q5T749 P60329 Q3LI67 P59991 Q9NYG5 Q3LI64 Q9Y2Y4 Q13207 Q8IUC1 Q03989 Q7Z6R9 Q9BYR6 P27918 Q9BYR8 P32242 Q9Y223 Q3LI76 Q3LI66 Q3LHN2 Q96LM6 A8MV65 Q13227 Q15915 Q3V5L5 Q3SYF9 O95231 Q99697 Q6PEX3 Q53HV7 Q9UBP5 Q7RTU3 O43593 Q99895 Q92922 O14559 Q92765"
24,10,0.3128,14.07,500.8,0.02631,0.999933,"Q8N144 P41743 Q6P1M3 Q9BYG5 Q05513 P11166 Q9NPB6 Q8IX03 Q9HC07 Q15334"
25,6,0.3141,4.712,29.66,0.1016,0.984681,"A0AVT1 Q9UHY7 P55145 P52788 Q9UBK8 O95394"
26,30,0.3017,131.2,2052,0.05850,0.999905,"Q96A22 P78310 O75955 P17302 P06239 P07948 P29966 Q16625 O95661 P98172 A8MVW0 Q8WXE0 Q8WU20 Q8TEW0 O00459 O14654 Q9NYI0 Q8IXS6 Q13480 Q13613 P54753 O75781 P52799 Q9HCK4 P29320 O95490 Q9HB21 Q6P995 Q5VUB5 Q9P0V3"
27,6,0.3057,4.585,143.2,0.02869,0.977336,"Q9NX58 Q96LZ2 Q9BRJ6 Q9UHA3 Q9NX24 Q9UJW3"
28,4,0.3632,2.179,16.17,0.08270,0.943824,"Q96A56 Q5TCY1 O95166 O95455"
29,4,0.3230,1.938,12.54,0.08621,0.969699,"P22732 A6NFN3 O75891 Q3SY69"
30,13,0.3034,23.67,82.62,0.1789,0.949604,"P78537 Q9NUP1 Q969J3 O43504 Q96FH0 Q96B45 Q0VGL1 Q9HB90 Q9UHA4 Q9Y2Q5 Q7L523 Q9NQL2 Q9P278"
31,26,0.3898,126.7,290.7,0.2699,0.653016,"Q969G3 Q92785 Q9UHA2 Q8TAQ2 Q68CP9 O14497 Q86U86 Q9NPI1 O94805 Q8WUZ0 Q12824 Q8NFD5 Q6STE5 Q92925 P51532 Q9NZM4 P51531 Q92784 Q9H8M2 Q4VC05 Q9BQE9 Q92782 O96019 Q15532 Q9BXU2 Q15620"
32,23,0.2675,67.67,629.3,0.09108,0.999855,"Q86Y82 Q9UNK0 O15155 O75379 Q13190 O95183 O75396 Q12981 Q96HH9 Q9P2W9 Q6NUQ1 Q99747 Q9BV40 Q9UFG5 Q9NZ43 Q8WVM8 O43264 A2RRP1 P54920 Q9NYM9 Q8WU76 Q96AJ9 Q8NFX7"
33,3,0.4563,1.369,12.51,0.06887,0.808633,"Q5D1E8 P59910 O75674"
34,223,0.2173,5378,6502,0.4363,0.00000,"Q9NWT1 P62829 O43159 Q9BRU9 P61313 O15479 Q9GZL7 Q13610 P60866 P27635 P18077 Q8WYQ5 Q9ULW3 Q9NZM5 O00541 P46781 P42696 P61513 Q9Y3U8 P46779 P62277 Q96MF4 Q9NR30 O75607 Q07020 P40429 P50914 O75569 P05388 Q96FI4 P39023 Q9GZR2 P26373 P62888 P35268 P62424 P62917 P42766 Q13247 P78362 P11940 Q13310 P62913 Q9BSG1 Q9HAN9 O15213 O00567 P51608 Q9NX58 P62241 Q1ED39 Q9BQG0 Q9H0A0 Q99848 Q96ME7 Q12788 Q9UNX4 Q13823 Q14692 Q14684 Q15050 O76021 Q9Y2X3 Q5SSJ5 Q5VWQ0 Q8N9T8 Q9BYG3 Q49A26 Q8NI36 P46087 O96028 Q9BVJ6 O15381 P49711 Q9Y3T9 Q8TDN6 Q00839 Q9BRD0 Q9BWF3 P62899 P62847 P62753 P06748 Q6ZN17 P61247 P62249 P39019 P84098 P23396 P15880 P36578 Q4G0J3 P16401 P16402 Q7Z2W4 P62906 Q9UNX3 P23352 Q12906 P08708 P46776 P46778 Q02543 Q15397 Q96GQ7 Q9P2E9 Q9Y221 Q9UPE1 P32969 Q96MX3 P46777 Q02878 P49207 P62244 P62266 P62263 O60832 Q9NW13 Q9NY93 Q9BSC4 Q03701 Q9NVP1 Q9BZE4 Q14690 Q9H0S4 Q9GZR7 Q8WTT2 Q9BQ67 P18621 P62701 P42677 Q9H8H2 Q8NB50 Q96LZ2 Q8IY81 Q8NDF8 P60228 Q14152 Q86V59 Q9BRJ6 P62854 Q15361 Q53GS7 O76094 Q96K58 Q9Y4C8 Q15269 Q969Q0 P37108 P62851 Q15573 P61254 P62081 P46782 P05387 O95793 P30050 P22492 Q9H116 P17026 P10412 Q9UGY1 Q6IQ21 P62750 Q13243 Q9NUL3 P78563 Q96IR2 Q9H5J8 P16403 Q9BRT6 Q8TBF4 O95478 P05386 Q6PK04 P46783 Q9H6F5 Q9H6S0 O75683 P62841 Q13601 P62910 Q9UHA3 Q9H6R4 Q9UII4 P57071 Q9H7B2 Q00577 Q9NQ55 Q96G21 Q9BXY0 P18124 P08865 Q9NX24 Q14512 P62280 P55075 P61353 P20042 P62891 Q6DKI1 Q92901 O00566 P63173 P25398 P83731 Q9BU19 Q8IZA3 Q6PGP7 P62633 Q9H9Y2 P47914 Q12849 Q9UKD2 Q5SVQ8 Q9UQ80 O60841 Q7Z478 P62269 P62861 Q96L21 P62273 P47813"
35,12,0.3123,20.61,181.8,0.09104,0.998225,"Q15436 Q8IZF2 P55735 O94979 O95486 O95487 P53992 Q15437 Q9HB20 Q9HD15 O94855 Q96M27"
36,7,0.3236,6.795,433.2,0.01496,0.999299,"P02724 Q9P2W7 Q8WXE0 Q9UK00 Q9UPU5 P50851 P42224"
37,35,0.3022,179.8,1214,0.1228,1.00000,"Q05519 Q9Y383 P48426 Q15287 Q6ZUT1 Q9NQ29 Q8N2M8 Q8TAD8 Q07955 Q13595 Q86VM9 Q9UKV3 P78362 Q9UKJ3 Q9H307 P49761 P62995 Q9BRL6 O75494 P49760 P08621 P26368 Q2KHN1 Q13427 Q9HCG8 O00422 Q9UQ35 Q9UN30 Q9UBC1 Q9H4G0 Q9Y2J2 O43491 Q8N1A0 P11171 O00418"
38,4,0.3528,2.117,37.57,0.04439,0.992931,"P61266 P23763 Q8NHU3 O15554"
39,4,0.3637,2.182,24.42,0.06306,0.903035,"Q9Y5F2 Q9Y5E4 Q9BW72 Q32MK0"
40,8,0.3160,8.848,98.93,0.07148,0.990935,"Q9UKK6 Q9ULJ8 A1L390 Q0ZGT2 Q9ULC0 Q9NXD2 P35225 P07320"
41,22,0.3090,71.37,300.6,0.1716,0.999622,"Q9HAH7 Q8IY57 Q86SE9 Q9BYE7 Q8N488 P78364 Q3KNV8 Q8WXX7 Q99496 Q06587 Q8IXK0 Q6W2J9 Q9H568 Q5H9F3 Q8NHM5 O00257 P35227 O95931 Q8NDX5 Q8TE76 P35226 Q9BSM1"
42,5,0.3027,3.027,53.23,0.04568,0.996692,"Q9NZ94 O75911 A2VDJ0 Q8NAC3 P36897"
43,19,0.3007,51.42,1153,0.04139,0.999995,"Q8TAP4 Q9UJV3 P25800 Q63ZY3 Q5JR59 Q9NQX0 Q9BYV2 O95678 Q08379 P61968 Q9HC52 Q8IYX8 Q9NVL8 Q14005 Q01546 Q8WXK1 Q86Y33 Q9P202 Q9Y618"
44,9,0.3012,10.84,250.3,0.03884,0.999604,"Q14802 Q9BUP3 P02808 Q9NP94 Q16873 P0DN84 O15529 Q9HDC5 Q6ZMD2"
45,19,0.2539,43.41,242.1,0.1342,0.954800,"P48426 O94992 Q96JC9 P42568 Q9UHB7 O60563 P50750 P55199 Q03111 Q9H6A0 O00472 Q9HB65 Q96CJ1 P51825 Q5W0Q7 O60583 O15403 P51826 P62256"
46,5,0.3271,3.271,68.38,0.04006,0.952654,"Q5HYK7 Q9H9H4 Q96B97 Q96HL8 O43150"
47,5,0.3194,3.194,105.9,0.02682,0.969949,"Q9P2R3 O15021 Q9P2D6 Q9Y2H2 Q9UJJ7"
48,16,0.3009,36.10,305.6,0.09660,0.999897,"P48426 P78356 Q8N3E9 Q8TBX8 Q96B54 Q96JC9 O95218 Q9UHB7 Q8IXQ4 Q03111 Q96C57 Q66PJ3 Q9HB65 Q96CJ1 P51825 Q7Z5H3"
49,8,0.3367,9.426,132.3,0.05975,0.998062,"Q9UID3 Q86VQ3 Q9NV70 Q96EV8 Q9P1Q0 Q9Y248 Q96JG6 Q5VIR6"
50,5,0.3135,3.135,244.4,0.01217,0.996692,"P49257 Q9H4D0 P54577 Q6P1N9 P22102"
51,10,0.3118,14.03,91.20,0.1120,0.987126,"P09622 Q02218 P10515 O75306 P53597 Q96I99 P36957 P82909 Q9ULD0 Q8N3R3"
