Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,9,0.3107,11.19,647.0,0.01654,0.999713,"P62807 Q86W56 P09884 P37275 Q15054 Q14181 P28340 P49005 P12004"
2,18,0.4255,65.09,157.5,0.2517,0.506311,"P49848 P21675 Q9HBM6 Q15545 Q15542 Q9BR10 Q15543 O00268 Q16594 Q12962 Q6P1X5 Q16514 Q15544 Q5VWG9 Q7Z7C8 Q92750 Q5H9L4 Q9Y3D8"
3,14,0.3304,30.07,142.7,0.1498,0.879334,"O60941 Q13425 P22459 Q9NSN8 Q9UBT7 P11532 Q8N103 Q9NY99 Q13424 Q13884 P29475 P46939 Q9HB19 A5D8W1"
4,4,0.3114,1.868,42.85,0.03543,0.992931,"O15432 P20309 Q9Y3E5 Q13733"
5,16,0.2770,33.24,337.7,0.08248,0.996857,"Q5SSQ6 Q9UI47 Q9C0D5 O60716 O15169 P35221 P35222 Q99569 O00192 P19022 P12830 P55289 P33151 O14907 P26232 P55286"
6,11,0.3053,16.79,600.9,0.02625,0.999969,"P11279 P14618 P00966 P17858 Q01813 Q9P035 P08237 O95456 P04075 Q9H0A8 P52565"
7,25,0.3059,91.76,640.0,0.1174,0.999703,"O14653 Q86Y82 Q9UNK0 O15155 O75379 Q9H115 Q13190 O95183 O75396 Q9UEU0 Q16623 Q12981 O95721 Q9P2W9 Q99747 Q9BV40 Q9NZ43 P32856 A2RRP1 P54920 O60499 O14662 Q8WU76 Q8NFX7 Q5T5C0"
8,7,0.3038,6.381,377.4,0.01604,0.999299,"P60709 O95084 P02747 P08253 P20908 Q9NZ56 P08572"
9,16,0.3019,36.22,633.6,0.05161,0.999787,"Q96KQ7 Q13185 P83916 P28838 P45973 Q9H5I1 Q96JM2 O95785 Q9H9B1 Q9H582 Q9H4I2 Q9UEU5 Q8N344 P49788 Q9Y468 Q9Y6F7"
10,7,0.3404,7.148,41.87,0.1134,0.979543,"Q8IYS8 Q96IK1 Q9H7Z6 Q68DK7 Q8N5Y2 Q9HCI7 Q2M2E5"
11,6,0.3327,4.990,64.61,0.06116,0.810761,"Q9Y5X3 O14529 O60749 Q8WX77 P55017 Q8N5U0"
12,5,0.3206,3.206,71.31,0.03794,0.996692,"Q5VYK3 Q9Y2F5 P06730 Q6P1N9 Q5TCZ1"
13,4,0.4245,2.547,35.41,0.05541,0.992931,"Q2TAZ0 Q9HAC8 Q6PEY0 Q14699"
14,9,0.3097,11.15,496.2,0.02122,0.999853,"P13473 P07919 P51684 B7ZAQ6 Q86YN1 Q6NVV3 Q9H7F0 P03905 P49281"
15,9,0.3060,11.01,366.2,0.02787,0.999713,"P51151 Q8NFA0 Q2PPJ7 Q9NXC2 Q86X10 Q6GYQ0 Q9BQI5 Q92796 Q9NYR9"
16,4,0.3702,2.221,32.69,0.05176,0.903035,"O00505 Q8NA19 Q2YD98 O14529"
17,5,0.3111,3.111,182.8,0.01588,0.0712283,"P50222 Q8NFP0 Q5SQS8 Q96NJ5 A8MRT5"
18,13,0.3119,24.33,113.8,0.1483,0.994011,"Q6ZMR3 Q9BYZ2 Q00796 P30038 P60174 P06744 O00764 P80404 P36871 P40925 Q96G03 Q9NQR4 P11766"
19,5,0.3048,3.048,55.38,0.04454,0.993907,"Q9UKG1 Q9NUE0 A8MPP1 Q8NHX9 Q96NW4"
20,6,0.3207,4.811,89.25,0.04536,0.997463,"Q9UNN5 Q7Z739 Q9BX40 Q9Y6H1 Q7RTS1 Q9H0J9"
21,12,0.3038,20.05,323.4,0.05457,0.950061,"O95831 Q9H9B4 Q4VC31 O75746 Q99623 Q16891 Q9UJS0 P36551 Q69YU5 P49753 O94826 P83111"
