Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,36,0.3316,208.9,583.2,0.2418,0.699755,"Q9Y4A5 Q15014 Q9UBU8 Q6ZRS2 Q9NPF5 Q15906 Q9GZN1 O95619 O43257 Q9H0E9 P41229 Q6PIV2 Q92993 Q9NV56 Q9HAF1 Q96L91 P0C0S5 O94805 Q9Y230 Q8WYH8 Q96A08 Q8N257 P12524 Q9NXR8 Q6PJQ5 Q9Y265 Q52LR7 O96019 Q05BQ5 Q8WYB5 Q9HBJ0 Q86VZ6 Q9H2F5 Q86YC2 O14994 Q6ZTU2"
2,17,0.5287,71.90,284.0,0.1844,0.992047,"Q9NQT4 Q15024 Q9Y3B2 Q01780 Q96B26 Q9NPD3 Q6NZY4 Q99547 Q9Y580 Q9Y2L1 Q9Y450 Q8TF46 Q13901 Q06265 Q13868 Q9NQT5 Q5RKV6"
3,95,0.2326,1038,2514,0.2774,0.630224,"Q14254 P08648 P46940 P62140 P61158 Q9NR12 Q9BR76 Q9ULV4 O15145 O43795 Q4KMQ1 Q9Y608 A1L390 Q6WCQ1 P09493 P67936 P07951 Q5M775 Q86V48 O75128 Q9Y4I1 Q8WWI1 O60292 Q9NQW6 Q14126 O95425 Q6ZU35 Q96SB3 Q76I76 Q9UPQ0 O43707 P63261 P61160 P28289 Q9UHB6 Q9NYL9 Q16643 P47755 Q92614 Q96H55 P21333 P35579 O00159 P24941 Q53TN4 P06396 P59998 Q8WXE9 O15143 O15144 O43293 O75083 O95782 P14384 P47756 P52907 P68133 P98082 Q01082 Q0ZGT2 Q12792 Q13045 Q13813 Q27J81 Q6P4F7 Q8N3V7 Q8N556 Q92828 Q96PE2 Q9BPX5 Q9NQX4 Q9NSY1 Q9P0K7 Q9Y281 P35580 P27482 O75369 O94875 Q14247 Q12965 O15511 P19105 O14950 Q9Y2D5 O14974 P07355 A6NMY6 Q92747 Q155Q3 O75781 Q16658 Q9HC78 Q96C19 P78524 Q96FS4"
4,5,0.3636,3.636,50.36,0.05682,0.952654,"O15165 O14578 Q5TCQ9 Q96QZ7 Q96J86"
5,7,0.3096,6.501,188.6,0.03108,0.998917,"Q07157 Q96A37 Q5HYK7 P35222 A6NEL2 Q9P266 Q0VF96"
6,47,0.3001,324.4,3615,0.08043,1.00000,"O95159 P62330 Q96A22 P78310 O75955 P17302 P06239 P07948 P29966 Q16625 P61019 Q15286 O95661 Q8TAA9 Q8TEW0 O96013 Q7KZI7 Q9Y6R0 O95819 O14654 P49757 Q8IZ21 Q14126 O60716 Q96RT1 Q9NYI0 Q8IXS6 P35222 Q9HCM4 Q13480 Q92738 Q12846 Q13613 Q9Y2G0 Q14156 Q13885 Q12923 Q96J84 Q5T2T1 Q12959 Q15334 Q96TA1 O95490 Q9C0B5 Q9HB21 Q4KWH8 Q6ZVF9"
7,30,0.2587,112.6,818.8,0.1135,0.999941,"Q86Y82 Q9UNK0 P61266 O15155 O75379 Q9H115 Q13190 Q13277 O95183 O75396 Q9UEU0 Q16623 Q9NRW7 Q12981 O95721 Q9P2W9 Q99747 Q9NZ43 P32856 Q8WVM8 A2RRP1 Q5SQN1 P54920 Q9NYM9 O60499 O14662 Q8WU76 Q96AJ9 Q5QGZ9 Q8NFX7"
8,5,0.3379,3.379,122.1,0.02494,0.993907,"Q9UBY9 P27816 O75369 O94875 Q6P9B6"
9,5,0.3111,3.111,57.75,0.04391,0.989214,"Q15637 Q86WR0 O43313 Q9NUJ1 Q6MZZ7"
10,21,0.3149,66.13,425.9,0.1238,0.996946,"Q9BQD3 Q6QNY1 O95295 Q5T0J7 Q9UID3 Q86VE0 Q1A5X7 Q9UL45 Q9UJT2 Q9NV70 Q96EV8 P78537 Q9NUP1 Q8TDH9 Q969J3 Q96FH0 Q8TDM0 Q96JG6 Q5VIR6 Q96B45 Q6QNY0"
11,14,0.3010,27.39,602.7,0.04163,0.999984,"Q96KQ7 O15446 Q96JM2 P84243 O95785 Q9H9B1 Q9H582 Q6IQ49 P37275 Q9UEU5 Q8N344 P49788 Q9Y468 Q9Y6F7"
12,5,0.3197,3.197,96.71,0.02909,0.996692,"P10606 Q969M3 P54098 P14854 P24310"
13,22,0.2338,54.01,207.8,0.1766,0.733037,"P11137 Q12802 Q9HAT0 P13861 Q9P0M2 O43687 Q76N32 P31323 P22694 P10644 Q8N6U8 P17612 P24588 Q86UN6 Q9BSF0 Q15506 P22612 P51817 Q96C74 Q86Y01 Q96Q06 Q6ZNL6"
14,4,0.3126,1.876,24.70,0.05425,0.992931,"Q9NUQ2 O15503 P55290 P06870"
15,6,0.3067,4.601,427.4,0.01036,0.998474,"Q15836 P51151 Q9BTU6 Q8N350 Q96QE2 Q9H6L2"
16,13,0.3043,23.74,220.7,0.08777,0.999889,"P31483 P62314 Q9UHI6 P57678 Q8TEQ6 P83369 Q16637 Q8WXD5 Q9NWZ8 Q9Y3F4 Q9H840 Q92915 O95786"
17,4,0.3574,2.144,127.7,0.01556,0.843839,"O60762 P50222 O60909 Q9H7X0"
18,94,0.2774,1212,5202,0.1836,0.995676,"Q13586 P50402 Q9Y6I9 Q9Y385 Q14318 Q8N144 Q96RD7 Q9BRK0 Q8WXH0 Q9H2F3 O00124 Q8N5G2 Q9P2W7 Q9H8H3 P42166 Q9H6L5 O95210 Q99442 P49069 Q9BUN8 Q99640 Q86Y07 O14681 Q8NBQ5 Q8N511 Q9BZF1 P04844 Q9NR77 Q96AG4 P20700 Q9H3N1 Q9P246 Q14739 Q9H089 Q16799 Q96S66 Q15042 Q13370 P49257 O15173 Q92575 Q8TCJ2 Q12846 Q96RQ1 Q9NRG9 Q9BTX1 Q969X5 P51572 P11712 Q00765 P04843 P43307 Q9NQC3 O14983 O00264 Q07065 Q15738 P35610 Q5HYI8 Q86XL3 Q9UBM7 Q96CS3 Q96A33 Q8TCT9 P08240 Q86UL3 P16435 Q8WXF7 Q8NFQ8 Q53EU6 Q13371 O43402 O75915 Q9UGP8 Q9H2M9 Q9HCU5 Q9Y394 Q5VV42 Q9HAD4 Q8IWB9 Q96HY6 Q96SK2 Q8WUX9 Q86UE4 Q9Y679 O60858 O95197 O95573 Q8TEY7 Q9NXE4 P00167 Q96JB5 P84157 Q8IXJ6"
19,5,0.3456,3.456,70.68,0.04107,0.996692,"Q04323 P40424 O00154 P55347 O15266"
20,17,0.3014,40.99,756.3,0.04931,0.999996,"Q9NQT4 P19338 Q969X6 Q15061 Q9BQ61 P62753 Q9H8H0 Q99547 Q13901 Q13868 Q8IWA0 Q9NQT5 Q8TED0 Q9Y5J1 P17097 Q9UMY1 O60841"
21,4,0.3522,2.113,76.36,0.02444,0.992931,"Q5BKX5 Q9NQ94 Q64LD2 O15273"
