Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,13,0.3028,23.61,204.9,0.09278,0.996170,"O15550 P61964 Q9UBL3 Q9P0U4 O15047 Q8NFC6 Q14686 Q96M32 O14686 Q96IK1 Q15291 Q9UPS6 Q8NEZ4"
2,5,0.3322,3.322,51.06,0.05159,0.928164,"P51610 Q92560 Q9NS37 Q9H0W7 Q9C0F0"
3,27,0.3065,107.6,643.9,0.1336,0.991108,"P07948 Q5HYW2 Q8WUW1 Q96F07 Q9Y6W5 Q8NB15 O00401 Q7L576 Q8IZP0 Q9ULV8 Q8TE68 O43639 Q9P206 Q9Y2A7 Q92558 Q9UPY6 Q9UQB8 Q8IWW6 Q8TF74 O43516 P16333 Q5SYE7 Q400G9 Q56UQ5 O43150 A6NGB9 Q70CQ4"
4,34,0.3004,168.5,2160,0.07031,0.999999,"Q5VT25 Q96A22 Q03135 P78310 O75955 P06239 P07948 P29966 Q16625 O95661 Q8WXE0 Q86YF9 Q8TEW0 P27448 O00459 P27986 O14654 Q15678 Q8IXS6 P35240 Q13480 P35612 Q12923 Q96J84 P55196 P49006 Q12959 Q9HCK4 Q9HB21 Q9Y6N7 Q6P995 P09543 Q96QZ7 Q70CQ4"
5,8,0.3200,8.959,42.46,0.1329,0.979716,"O43615 P08123 Q0VAM2 P02461 O75616 P02452 Q7Z624 Q8TBP6"
6,75,0.3005,833.9,4892,0.1419,0.998614,"Q13586 P50402 Q9HBM0 P78310 Q8N144 Q96RD7 P20338 P51151 Q9H2F3 Q9HDC5 Q9P2W7 Q9NYP7 Q9H8H3 P42166 O95210 Q99442 P49069 Q9BUN8 Q99640 Q8NBQ5 Q9BZF1 P04844 Q9NR77 P20700 Q9HC62 Q9Y2U8 Q9H089 Q5JTV8 Q96S66 P49257 O15173 Q92575 Q8TCJ2 Q12846 Q96RQ1 Q969X5 P51572 P11712 Q00765 P04843 P43307 O14983 O60503 O00264 Q07065 Q15738 Q5HYI8 Q86XL3 Q9UBM7 P53985 Q9P035 Q96A33 P08240 Q9H3P7 Q8WVM8 Q86UL3 P16435 P55011 Q9Y2H6 Q8NFQ8 Q07960 Q9UGP8 Q9H2M9 Q9HCU5 Q96QT4 Q5VV42 Q9HAD4 Q8IWB9 Q96HY6 Q96SK2 Q8NEN9 O95573 Q9NXE4 P84157 Q8WUY9"
7,16,0.3119,37.43,288.6,0.1046,0.998032,"O43633 Q9HD42 Q9Y3E7 P53990 Q9H3S7 Q8WV92 Q9UBP0 O75351 Q9H444 Q9UQN3 Q7LBR1 Q9NZZ3 O95630 Q9NP79 Q96K21 Q9UN37"
8,13,0.3095,24.14,123.7,0.1389,0.747507,"Q9NPJ4 P46109 Q9NPI6 Q96F86 Q8IU60 P11309 Q12796 Q6P2E9 Q9Y4F3 Q8TAP8 Q16774 Q9UJ72 Q8N8G6"
9,5,0.3271,3.271,33.49,0.06995,0.989214,"P45973 P23497 Q6N043 Q9H5I1 Q8IVC4"
10,12,0.3372,22.26,166.2,0.1048,0.996370,"Q92569 O00329 P37173 O00459 P27986 P42338 O14654 P42336 Q9UHF4 Q9NZU1 Q9NZ94 P47901"
11,3,0.7076,2.123,9.450,0.1208,0.808633,"Q8IXS8 Q86TV6 Q96LR7"
12,8,0.3126,8.754,600.6,0.01400,0.999320,"Q9Y294 O15446 P13056 Q6ZU65 P37275 Q8N594 Q8TF68 Q9NZM4"
13,10,0.3023,13.60,84.90,0.1148,0.863482,"Q6NTF9 Q9UHD4 Q53QW1 P02654 O95563 Q9Y3Q0 P60602 O60830 Q5TGZ0 Q99525"
14,3,0.6332,1.900,8.167,0.1182,0.808633,"Q92777 O14994 Q05923"
15,6,0.3157,4.735,145.0,0.02928,0.998474,"Q8IWF6 P29317 Q96SQ9 Q9UBM7 O94822 Q8NFZ8"
