Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,52,0.3014,399.7,1173,0.2383,0.986574,"P41223 P62306 Q9Y5U2 Q8WWY3 Q15428 Q15696 O60508 O94906 Q15393 Q6P2Q9 O75643 P62318 P62316 P62304 P62314 Q9HCS7 Q9BZJ0 O60306 Q9BRX9 Q8WUD4 Q9UNP9 Q9ULR0 O95926 P14678 O60828 O43719 O43395 O43290 Q9BRR8 Q9BWU0 Q96AT1 Q96NB3 Q9Y5B6 Q69YN2 P62308 O43172 Q56P03 Q15029 P08579 P63162 P09661 O43660 Q9UMS4 Q15459 Q12874 Q7RTV0 Q96IZ7 Q96DI7 Q9H875 Q9H5Z1 O75533 Q8IYT2"
2,51,0.3028,386.0,1208,0.2276,0.986399,"P41223 P62306 Q9Y5U2 Q8WWY3 Q15428 O60508 O94906 Q15393 Q6P2Q9 O75643 P62318 P62316 P62304 P62314 Q9HCS7 Q9BZJ0 O60306 Q9BRX9 Q13573 Q8WUD4 Q9UNP9 Q9ULR0 O95926 P14678 O60828 O43395 O43290 Q9BRR8 Q96AT1 Q96NB3 Q9Y5B6 P62308 O43172 Q56P03 Q9Y312 O95905 Q15029 P63162 P09661 O43660 Q9UMS4 Q15459 Q12874 Q96IZ7 Q96DI7 Q9H5Z1 O75533 Q9UHR6 O95400 Q6P3X3 Q8IYT2"
3,7,0.3041,6.387,123.4,0.04440,0.999299,"O14980 P49903 P14324 Q92597 P11413 Q9NUU7 P22102"
4,14,0.4070,37.04,133.8,0.1863,0.701389,"Q13425 P22459 Q9NSN8 Q9UBT7 P11532 Q8N103 Q9NY99 Q9Y4J8 Q13424 Q13884 P29475 P46939 Q9HB19 A5D8W1"
5,8,0.3009,8.424,54.11,0.1073,0.996297,"E9PAV3 Q96K17 P20290 Q147X3 O15069 Q5VZE5 Q9H009 Q13765"
6,7,0.3302,6.935,223.1,0.02842,0.999299,"P50570 Q9UQ16 P98172 Q8TCG2 Q5VV42 P29323 P52799"
7,86,0.3004,1098,5615,0.1595,0.972290,"Q13586 P50402 O15400 P78310 P17302 Q8N144 Q96RD7 P62491 P20338 P51151 Q8WXH0 Q9H2F3 Q8N5G2 Q9P2W7 Q9H8H3 P42166 O95210 Q99442 P51648 Q96A49 P49069 Q9P0L0 Q9BUN8 Q8NBQ5 Q8N511 Q9BZF1 P04844 Q9NR77 Q96AG4 P20700 Q9P246 O75410 Q14739 Q9H089 Q5JTV8 Q8TEV9 Q5JRA6 Q96S66 P49257 O15173 Q92575 Q8TCJ2 Q12846 Q96RQ1 Q9BTX1 Q969X5 P51572 P11712 Q00765 P04843 P43307 Q9NQC3 O14983 O60503 O00264 Q07065 Q15738 A0FGR8 Q14573 Q86XL3 Q96A33 P08240 Q9H3P7 Q86UL3 Q8N6H7 P16435 Q9Y2H6 Q9BSJ8 Q07960 Q9UGP8 Q9H2M9 Q9HCU5 Q5VV42 Q9HAD4 Q8IWB9 Q96HY6 Q96SK2 Q8WUX9 Q8NEN9 Q86UE4 Q9Y679 O60858 O95573 Q9NXE4 Q96JB5 P84157"
8,5,0.3627,3.627,72.38,0.04217,0.996692,"Q96HC4 Q9BT88 Q02952 Q96FZ7 Q6ZVK8"
9,5,0.3129,3.129,255.1,0.01166,0.582734,"Q13185 Q9C0D4 Q7Z7L1 Q6P1R3 Q8N8J6"
10,8,0.3559,9.965,77.27,0.09653,0.886427,"P53990 Q8WV92 O75351 Q7LBR1 Q9NP79 Q8N123 Q96K21 Q9UN37"
11,7,0.3166,6.648,54.92,0.08798,0.998917,"O94973 Q9BV29 P53680 Q9NVZ3 P49418 Q9BQI5 Q6PD74"
