Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,42,0.3008,259.0,2107,0.1057,0.999988,"Q13111 P32519 Q9Y5B9 Q08945 P62807 P45973 Q6N043 P62805 Q13112 P84243 Q7Z7L1 Q01831 Q9HAW4 O75367 P0C0S8 Q9BRX5 Q96A08 Q8N257 P25205 Q9BVW5 P04908 Q9BRT9 Q14331 P33993 P33991 Q14566 Q6FI13 Q16777 P16104 Q9UNS1 P49736 P33992 Q9NVP2 Q14691 Q6ZRQ5 Q3T8J9 Q8IUE6 Q9P0M6 Q8IW19 Q96HA7 Q6P6C2 Q9UGN5"
2,18,0.3072,47.00,867.0,0.04947,0.998781,"Q9NYB0 Q96AP0 P12956 Q9H816 Q8N594 Q9BSI4 P54274 P13010 Q8IXM2 P78527 Q6ICG6 Q15554 Q96SZ6 Q14191 Q13564 Q9ULD9 Q9NUX5 P49703"
3,16,0.3000,36.00,870.0,0.03838,0.988003,"P20339 Q9UJC3 Q86VS8 Q8N0S2 Q9Y275 Q92622 Q99570 Q8NEB9 Q14457 Q9H8T0 Q9BXB5 Q9H714 Q9P2Y5 Q8N612 Q05DH4 Q9UKL6"
4,6,0.3333,5.000,592.0,0.008210,0.997811,"P11279 Q6P1K1 O76039 Q99536 P51153 Q8TF44"
5,28,0.3016,114.0,1187,0.08401,0.924787,"P60709 Q9BYX7 Q9NYL9 P06396 P68032 P62736 Q0ZGT2 Q562R1 Q8N0Z2 Q9Y6W6 Q8TCA0 Q93015 P0CG38 P10828 Q4VC05 Q9Y6U3 Q9BQI0 P12724 Q6IBS0 Q9NZR1 P40123 Q01518 P35080 O75167 P02774 Q06141 P60673 Q8WYL5"
6,21,0.3000,63.00,1804,0.03300,0.999997,"Q15286 Q9H6J7 P61163 Q9P003 Q9H9B4 P56589 P07197 Q8IUZ0 Q6ZTW0 P05783 Q92667 Q02978 P28288 Q02790 Q9UJS0 P24390 P00367 Q6IQ26 Q15057 Q6ZUT9 Q9Y484"
7,6,0.3333,5.000,529.0,0.009158,0.970470,"P62491 Q9BZQ8 Q8IYU2 P53355 O75154 Q9NS62"
8,6,0.3333,5.000,525.0,0.009225,0.946362,"O15446 O75582 Q8N594 Q9UBN4 O60315 Q9NRC6"
9,6,0.3333,5.000,517.0,0.009363,0.393503,"P51148 A8MTJ3 Q96AX2 Q9UL51 Q9P1Z3 Q9Y3Q4"
10,6,0.3333,5.000,497.0,0.009728,0.394186,"P38432 Q9NYT6 P31271 Q9C0D9 P50219 P31276"
11,18,0.3072,47.00,1017,0.04273,0.999988,"Q13111 P46100 Q6RI45 P83916 P17480 Q13619 Q14676 Q96T23 O14646 Q8WWQ0 Q86X53 P62753 Q9NSI6 Q9BZZ5 Q9BXS6 Q13415 O43929 Q71UI9"
12,6,0.3333,5.000,504.0,0.009597,0.994438,"P62330 Q9H2V7 Q15057 Q9ULC8 Q9BY67 Q9NZU0"
13,9,0.3056,11.00,650.0,0.01620,0.998431,"Q96G97 Q9BUN8 Q96BZ9 Q7Z3D4 P50747 Q9NXW2 Q8NBU5 Q6Y2X3 Q5BJD5"
14,12,0.3030,20.00,937.0,0.02039,0.994255,"P22087 Q92567 O14641 P14678 Q96T21 Q15020 O00308 Q9NRJ4 Q5TC82 Q00688 Q14444 P35789"
15,6,0.3333,5.000,445.0,0.01082,0.935880,"P04843 Q15011 Q8TBM8 Q14728 Q8NCS4 Q5JPE7"
16,23,0.3004,76.00,928.0,0.07238,0.999149,"P61019 Q8WUD1 Q9NRW1 P62820 Q8NEG0 Q9UL25 Q13637 P26374 P24386 P31150 P20340 Q9H0U4 Q8IWE2 P50395 P61106 Q96AH8 Q92696 Q92930 Q13636 Q13794 Q8IYT1 Q6NXP2 Q969Q5"
17,16,0.3000,36.00,850.0,0.03922,0.999391,"Q8N6G5 Q96D05 Q99442 Q92633 Q9H8X2 Q9UBQ6 Q8TAD4 O60635 Q86W33 Q9Y5W7 O75845 Q6Y2X3 A2RUU4 Q9Y5W8 Q8TAB3 Q96BS2"
18,10,0.3111,14.00,681.0,0.01958,0.999820,"O95159 Q96D05 P07766 Q9UIQ6 Q96CN9 Q99675 O60635 Q4ADV7 Q969S8 C9JH25"
19,9,0.3056,11.00,608.0,0.01727,0.999223,"Q6IAA8 P61163 Q9HB71 P00367 Q6IQ26 Q6ZUT9 Q9H553 Q96JA3 Q8IWE5"
20,38,0.3016,212.0,1847,0.09930,0.999996,"P50402 P30536 O00180 P36542 P08574 Q9Y6C9 P59542 P61421 P06576 P18859 P48047 P21796 O75947 Q9UII2 P24539 P05023 Q9NZJ7 O75964 P56381 P30049 Q969M3 P45880 Q9Y277 P16615 P35232 P25705 P56385 Q5T3F8 Q6P9A3 Q9UGI6 Q14500 B7U540 Q9HCE9 Q6ZNC8 O15258 P25106 O43181 Q9NX36"
21,4,0.6667,4.000,19.00,0.1290,0.907062,"Q8IXS8 Q8N4E4 Q86TV6 Q96LR7"
