Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,31,0.3021,140.5,758.1,0.1463,0.999874,"Q9Y5B9 Q08945 Q96P70 Q9BTT0 P62805 Q01831 P49916 Q9UEE9 P0C0S5 Q9BTM1 Q8N108 P0C0S8 Q96A08 Q7Z3K6 Q8N257 P04908 P58876 Q14207 P23527 Q6FI13 Q16777 Q6PH81 P16104 O94880 Q6ZRQ5 Q96RY5 Q3T8J9 Q14865 Q8IW19 Q96HA7 Q9UGN5"
2,18,0.3814,58.36,142.8,0.2460,0.556608,"P49848 P21675 Q9HBM6 Q15545 Q15542 Q9BR10 Q15543 O00268 Q16594 Q12962 Q6P1X5 Q16514 Q15544 Q5VWG9 Q7Z7C8 Q92750 Q5H9L4 Q9Y3D8"
3,24,0.2211,61.03,257.6,0.1665,0.991380,"Q9HAH7 Q8IY57 Q86SE9 P61962 Q9BYE7 Q8N488 P78364 Q3KNV8 Q8WXX7 Q99496 Q06587 Q9HCM7 Q8IXK0 Q9UQR0 O00257 P35227 O95931 Q8NDX5 P35226 Q96GD3 Q9HD64 Q5VUG0 Q8TDQ1 Q68DX3"
4,9,0.3027,10.90,276.5,0.03569,0.999713,"Q9UHE5 O95214 P54849 O15529 O15552 Q9HDC5 E9PQX1 Q9BSR8 Q08708"
5,82,0.3011,999.9,5236,0.1562,0.958322,"Q13586 P50402 P78310 Q8N144 Q96RD7 P51151 Q8WXH0 Q9H2F3 O95292 Q9P2W7 Q9NYP7 Q9H8H3 P42166 Q9H6L5 O95210 Q99442 P49069 Q9BUN8 Q8NBQ5 Q9BZF1 P04844 Q9NR77 Q96AG4 P20700 Q9P246 O75410 Q9Y2U8 Q14739 Q9H089 Q5JTV8 Q96JQ2 Q96S66 Q15042 P49257 Q92575 Q8TCJ2 Q12846 Q96RQ1 Q9BTX1 Q969X5 P51572 P11712 Q00765 P04843 P43307 O14983 O60503 O00264 Q07065 Q15738 Q5HYI8 Q86XL3 Q9UBM7 Q96A33 Q8TCT9 P08240 Q9H3P7 Q86UL3 P16435 Q9Y2H6 Q8WXF7 Q9BSJ8 Q8NFQ8 Q53EU6 Q9UGP8 Q9H2M9 Q9HCU5 Q92543 Q5VV42 Q9HAD4 Q8IWB9 Q96HY6 Q96SK2 Q8WUX9 Q86UE4 Q9Y679 O60858 O95573 Q9NXE4 P00167 Q9H2J7 P84157"
6,15,0.3002,31.52,894.6,0.03296,0.999995,"O14925 Q14318 P51648 O75381 Q5T8D3 Q9H9B4 P56589 Q9NR77 O15260 Q9Y4W6 Q92667 Q92575 Q7Z434 P28288 O60669"
7,26,0.3043,98.90,696.7,0.1167,0.999787,"Q86Y82 Q9UNK0 O15155 O75379 Q9H115 Q13190 O95183 O75396 Q9UEU0 Q16623 Q12981 O95721 Q9P2W9 Q99747 Q9BV40 Q9NZ43 P32856 O43264 A2RRP1 P54920 O60499 O14662 Q8WU76 Q96AJ9 Q5QGZ9 Q8NFX7"
8,4,0.3167,1.900,22.65,0.05839,0.903035,"Q9ULL5 Q8IWW6 Q9UPX8 Q9BYB0"
9,4,0.3703,2.222,30.80,0.05416,0.992931,"P45973 P23497 Q6N043 Q9H5I1"
10,11,0.3138,17.26,155.4,0.08868,0.999487,"Q92569 O00329 P37173 O00459 P27986 P42338 O14654 P42336 Q9UHF4 Q9NZU1 P47901"
11,5,0.3023,3.023,145.9,0.01902,0.996692,"Q68G74 Q9NU19 Q8TF47 Q9H3P7 Q8WUA7"
12,6,0.3052,4.578,186.3,0.02257,0.998474,"Q8IWF6 Q03518 Q6ZMZ0 Q9UBM7 O94822 Q14114"
13,6,0.3067,4.600,108.1,0.03690,0.998474,"Q01484 Q8IXS6 Q9UQF2 Q12955 Q14679 Q92565"
14,4,0.3084,1.851,29.21,0.04738,0.984809,"Q96SQ9 P17252 Q9NNW7 Q68DA7"
15,18,0.3009,46.03,360.8,0.1039,0.996246,"P48426 Q15059 Q8N3E9 Q8TBX8 Q96JC9 P42568 Q9UHB7 O60885 P55199 Q03111 Q495Y7 O00472 Q9HB65 Q96CJ1 P51825 Q8NCB2 Q8TEA8 O60583"
16,4,0.3160,1.896,212.4,0.008529,0.557725,"P50222 O60909 Q9H7X0 Q8NFP0"
17,11,0.2723,14.97,78.26,0.1299,0.999487,"O43747 P56377 O75843 Q96PC3 Q9Y6Q5 Q6ULP2 Q9P2D3 Q9UMZ2 Q63HQ0 Q6PD74 Q6S5H5"
18,250,0.2179,6784,7247,0.4668,0.00000,"Q6ZN55 Q9NWT1 P62829 O43159 Q9BRU9 P61313 Q75WM6 O15479 Q9GZL7 Q13610 P60866 P27635 P18077 Q8WYQ5 Q6NSZ9 Q9ULW3 Q9NZM5 O00541 P46781 Q13523 P26378 P42696 P61513 Q9Y3U8 P46779 P62277 Q96MF4 Q9NR30 O75607 Q07020 P40429 Q02539 P50914 Q9UL40 O75569 P05388 Q96FI4 P39023 Q9GZR2 P26373 Q08170 P62888 P35268 P62424 P10075 P62917 P42766 Q13247 P11940 Q9UFB7 P62913 Q9HAN9 O15213 O00567 Q9NX58 P62241 Q9NQV6 Q1ED39 Q9BQG0 Q9H0A0 Q99848 Q96ME7 Q13206 Q12788 Q13823 Q14692 Q15050 O76021 Q9Y2X3 Q9Y3B9 Q5SSJ5 Q5VWQ0 Q8N9T8 Q9BYG3 Q49A26 Q6PCB5 Q99676 O60765 P46087 O96028 Q9BVJ6 O15381 P49711 Q9Y3T9 Q5JTH9 Q8TDN6 Q00839 Q9BWF3 Q8NEJ9 P62899 P62847 P62753 P06748 Q6ZN17 P61247 P62249 P39019 P84098 P23396 Q92913 P0C0S8 P15880 P36578 Q9Y2T7 Q4G0J3 P16401 P16402 Q9H9Z2 Q7Z2W4 P62906 Q9UNX3 Q9UJV8 P0C5Z0 Q12906 Q6P158 O60258 Q9UHB9 P08708 P46776 P46778 Q02543 Q15397 Q96GQ7 Q9P2E9 Q9Y221 P67809 Q7RTS1 Q9UPE1 P32969 Q96MX3 P46777 Q02878 P49207 P62244 P62266 P62263 O60832 Q9NW13 Q9NY93 Q9BSC4 Q03701 Q9NVP1 Q9BZE4 O95625 Q14690 Q9H0S4 Q9NVU7 Q9GZR7 Q8WTT2 Q9BQ67 Q8IY37 P18621 P62701 P42677 Q9H8H2 Q8NB50 Q96LZ2 Q8IY81 Q8NDF8 P60228 Q14152 Q86V59 Q9BRJ6 Q99575 Q13435 P62854 Q15361 Q53GS7 O76094 Q96K58 Q9Y4C8 Q96C57 Q969Q0 P37108 P62851 Q15573 Q9BWE0 P61254 P62081 P46782 P05387 O95793 Q96HE9 P30050 P22492 Q9H116 P17026 P10412 Q6IQ21 P62750 Q13243 Q9NUL3 Q9NUD5 P78563 Q96IR2 Q9H5J8 P16403 Q9BRT6 Q8TBF4 O95478 Q8N5P1 P05386 Q6PK04 P46783 Q9H6F5 Q9NW07 Q9H6S0 O75683 P62841 Q13601 P62910 Q9UHA3 Q9H6R4 Q9UII4 P57071 Q9H7B2 Q00577 Q9NQ55 Q96G21 Q9BXY0 P18124 P08865 Q14512 P62280 Q7L3S4 Q9BQ75 P61353 P62891 Q6DKI1 Q92901 Q96GM8 O00566 P63173 P25398 P83731 Q9BU19 Q8IZA3 Q2Q1W2 P62633 Q9H9Y2 P47914 Q12849 Q9UKD2 Q9NY61 P62269 P62861 Q96L21 P62273 P23467 Q9H4Z2"
19,9,0.3000,10.80,246.9,0.03917,0.999001,"O95831 O75746 Q99623 Q9UJS0 P09622 Q9Y697 P36551 P49753 P83111"
20,119,0.1888,1326,1911,0.3815,1.66693e-06,"Q7Z3S9 O14817 P28799 Q9HB63 Q9H2X0 Q92824 Q9UKJ5 Q9Y3S2 Q9NUL5 O60336 Q8WWZ8 Q8IWZ5 P05187 O43609 Q6EMK4 O43610 Q9UHI7 Q9BYR3 Q5T752 Q14995 P54619 Q5T753 Q5TA79 P59990 Q9BYQ0 P60410 Q6L8H2 Q9BYR2 Q6L8G4 Q9BYQ3 P60328 Q6L8G9 Q701N4 Q9BYQ6 P60329 Q9BQ66 P60411 P59991 Q9BYQ4 P60370 P60412 Q9BYR5 P26371 P60409 Q8IUG1 A0A087WUL8 Q7Z417 Q5T7P2 Q5TA78 Q2TAL6 Q5T7P3 P60331 Q9BYP8 Q07627 Q9BYS1 Q6L8G8 Q6UY14 O76081 P49795 Q8IUC1 Q5TA81 Q5TA82 Q9BYQ7 P0C7H8 Q9BYR7 Q9BYR9 Q92570 P60371 O43184 O14633 P49901 Q5T751 Q9BYR6 Q9UGC6 Q8NEC5 Q5TCM9 Q5TA77 P60014 Q5T754 Q92504 Q02930 Q9UGL9 P32242 Q12837 Q96EG3 Q9Y223 Q9BYE3 Q5TA76 Q5T5B0 O76003 Q9NWN3 Q5T871 Q6L8H4 Q5T5A8 Q5HYJ3 Q86YT5 Q96LJ7 P07438 Q8IXW0 Q3LHN2 Q9UBR2 Q969G9 Q8NHX4 Q8IYI8 Q92608 Q8WV24 P07510 O60269 Q8IUC0 Q9NQX5 Q8IY34 Q96JC4 O95992 Q6UXX9 Q8TC90 P08686 Q13875 P52797 Q86UN2"
21,12,0.3009,19.86,203.8,0.08020,0.998782,"Q2M389 Q9Y3C0 P47756 P52907 O15055 Q9Y4E1 Q641Q2 Q12768 Q9NQA3 C4AMC7 Q8N7B1 Q96P48"
22,12,0.3174,20.95,261.3,0.06839,0.999846,"Q13111 P46100 P83916 Q9UNL4 Q9HAF1 O95696 Q8WWQ0 Q92613 Q8WYH8 O95251 Q6IE81 Q13415"
23,10,0.3068,13.81,330.0,0.03795,0.999343,"Q5T5P2 Q5T5U3 O15169 P35221 P35222 P55289 Q9C0H9 Q12955 Q9Y4J8 P49840"
24,21,0.3022,63.45,294.8,0.1585,0.999590,"P62318 Q9Y4Y9 Q9BRS2 O14744 Q9UK45 Q9H6E5 Q9NQ92 P54105 Q9H7X2 Q9Y333 P62310 O75554 O15116 P62312 Q9Y4Z0 O95777 Q9BQA1 Q96DC7 Q14011 Q96A00 Q969L4"
25,39,0.3006,222.7,2908,0.06940,0.999996,"O95159 Q5VT25 P62330 Q96A22 P78310 O75955 P06239 P07948 P29966 Q16625 P61019 Q15286 O95661 P98172 Q8WXE0 Q8TEW0 Q7KZI7 Q16181 O95819 O00459 P27986 O14654 Q4KMP7 O60716 Q9NYI0 Q13480 Q9Y2G0 Q14156 Q96J84 P49006 Q12959 P52799 Q15334 Q8IUW5 Q96TA1 O95490 Q9C0B5 Q9HB21 Q6ZVF9"
26,17,0.3117,42.39,344.5,0.1007,0.993430,"Q10567 Q15811 Q96D71 Q59EK9 Q96CW1 Q8WXE9 O95782 P42566 O94973 Q9UBC2 Q9BV29 P53680 Q9NVZ3 P49418 Q9BQI5 Q6PD74 P98077"
27,29,0.3380,137.2,339.5,0.2566,0.743172,"Q969G3 Q92785 Q9UHA2 Q8TAQ2 Q68CP9 O14497 Q86U86 Q9NPI1 O94805 Q8WUZ0 Q12824 Q8NFD5 Q6STE5 Q92925 O75177 Q92922 P51532 Q9NZM4 P51531 Q92784 Q9H8M2 Q4VC05 Q9BQE9 Q01201 Q92782 O96019 Q15532 Q9BXU2 Q15620"
28,6,0.3133,4.699,100.8,0.03998,0.977336,"Q8NC51 Q9C0B0 Q14157 Q9UKY7 Q9UGR2 Q9BY12"
