Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,17,0.3888,52.87,121.8,0.2533,0.581863,"P49848 P21675 Q15545 Q15542 Q9BR10 Q15543 O00268 Q16594 Q12962 Q6P1X5 Q16514 Q15544 Q5VWG9 Q7Z7C8 Q92750 Q5H9L4 Q9Y3D8"
2,6,0.3075,4.612,75.79,0.04991,0.989880,"Q92598 P31327 P48147 P34932 Q53GS9 A8MWD9"
3,5,0.3275,3.275,47.96,0.05349,0.952654,"O15165 O14578 Q5TCQ9 Q96QZ7 Q96J86"
4,18,0.3086,47.22,316.5,0.1181,0.999922,"O00180 P36542 P59542 Q8NBI5 P06576 P18859 P48047 O75947 P24539 O75964 P56381 P30049 P25705 P56385 P25106 Q8NC44 P03928 Q8WUX1"
5,8,0.3155,8.835,40.07,0.1361,0.966959,"O43615 P08123 Q0VAM2 P02461 O75616 P02452 Q7Z624 Q8TBP6"
6,53,0.3955,545.0,606.2,0.4335,9.99201e-06,"O00233 P28062 P28070 P62333 Q96LY2 P28074 P62195 Q969U7 O00232 Q53HC0 Q92530 P62191 P28065 P25787 P60900 O43242 P49721 Q13200 P51665 P17980 P25789 Q96AQ1 Q99460 P55036 P49720 O75832 Q9Y5K5 Q9UNM6 P35998 Q16186 P43686 Q8NE28 Q16401 O00487 Q15008 O14818 Q9Y244 Q99436 P54578 P25788 Q8TAA3 P28066 P28072 O00231 P48556 Q8N5H3 Q14997 O95456 P40306 O95163 Q9BRP4 Q0PNE2 Q7RTR0"
7,6,0.3139,4.709,48.60,0.07211,0.967224,"O00401 Q9UPY6 Q8IWW6 Q8TF74 A6NGB9 Q9BYB0"
8,32,0.2610,129.4,341.7,0.2419,0.841423,"Q969G3 Q92785 Q9UHA2 Q8TAQ2 Q68CP9 O14497 Q86U86 Q9NPI1 O94805 Q8WUZ0 Q12824 Q8NFD5 Q6STE5 Q92925 O75177 Q92922 P51532 Q9NZM4 P51531 Q92784 Q9H8M2 Q4VC05 Q9BQE9 Q01201 Q92782 O96019 Q15532 Q9BXU2 Q6IBS0 Q01518 Q08AE8 Q15620"
9,13,0.3035,23.67,307.4,0.06629,0.999940,"Q9NZ01 P22695 P21796 P00403 P61619 Q9UNL2 P45880 Q9Y277 P39656 P11310 P51571 Q9H0U3 O15438"
10,8,0.3135,8.777,376.7,0.02186,0.994959,"P62491 Q9Y485 O75348 P21281 P15313 Q9Y4E6 Q99536 Q9NS62"
11,87,0.3011,1126,5402,0.1680,0.976679,"Q13586 P50402 Q9Y6I9 Q9Y385 P78310 Q8N144 Q96RD7 P51151 Q8WXH0 Q9H2F3 Q9P2W7 Q9NYP7 Q9H8H3 P42166 Q9H6L5 O95210 Q99442 Q96A49 P49069 Q9BUN8 Q86Y07 Q8NBQ5 Q9BZF1 P04844 Q9NR77 Q96AG4 P20700 Q9P246 O75410 Q9Y2U8 Q14739 Q5JTV8 Q96S66 Q15042 Q13370 P49257 Q92575 Q8TCJ2 Q12846 Q96RQ1 Q969X5 P51572 P11712 Q00765 P04843 P43307 O14983 O00264 Q07065 Q15738 A0FGR8 Q5HYI8 Q86XL3 Q9UBM7 Q96CS3 Q96A33 Q8TCT9 P08240 Q9H3P7 Q86UL3 P16435 Q8WXF7 Q9BSJ8 Q8NFQ8 Q53EU6 Q07960 Q9NZJ5 Q9UGP8 Q9H2M9 Q9HCU5 Q92543 Q5VV42 Q9HAD4 Q8IWB9 Q96HY6 Q96SK2 Q8WUX9 Q8NEN9 Q86UE4 Q9Y679 O60858 P20020 O95573 Q9NXE4 P00167 Q9H2J7 P84157"
12,5,0.3170,3.170,155.4,0.01880,0.996692,"Q6PIV2 Q9UHD8 Q9UQN3 Q9Y5X1 Q7L190"
13,6,0.3009,4.513,350.1,0.01231,0.967224,"O60245 P13473 Q9NP91 Q8IWB9 Q9Y2Q0 Q9NVA4"
14,14,0.2723,24.78,158.1,0.1175,0.997281,"Q96KQ7 Q9H5I1 Q96JM2 O95785 Q9H9B1 Q9H582 Q9UEU5 Q8N344 Q86UZ6 O14924 P49788 Q9Y468 Q9Y6F7 Q13127"
15,6,0.3335,5.003,252.4,0.01857,0.995880,"P50222 O43602 Q9H3U1 Q9NX01 P53582 P50221"
16,9,0.3048,10.97,93.11,0.08987,0.978870,"Q9UID3 Q9P1Q0 Q9Y248 Q96JG6 Q53HC9 Q5VIR6 P33947 O43323 P57059"
17,5,0.3140,3.140,104.6,0.02667,0.996692,"Q13610 P11387 Q13206 Q8NEF9 Q13751"
18,5,0.3114,3.114,78.07,0.03416,0.996692,"Q9UPP5 Q9Y6R0 P49757 P27694 Q5VST9"
19,119,0.1853,1301,1977,0.3700,9.71129e-05,"Q7Z3S9 Q96NT3 O14817 P28799 Q9H2X0 Q92824 Q9UKJ5 Q9NUL5 O60336 Q8WWZ8 Q8IWZ5 P05187 O43609 Q6EMK4 O43610 Q9BYR3 Q5T752 Q14995 P54619 Q5T753 Q5TA79 P59990 Q9BYQ0 Q6L8H2 Q9BYR2 Q5T749 Q6L8G4 Q9BYQ3 P60328 Q6L8G9 Q701N4 Q9BYQ6 P60329 Q9BQ66 P60411 Q9BYQ4 P60370 P60412 Q9BYR5 P26371 P60409 Q8IUG1 A0A087WUL8 Q7Z417 Q5T7P2 Q5TA78 Q2TAL6 Q5T7P3 P60331 Q9BYP8 Q9BYS1 Q6L8G8 Q6UY14 O76081 P49795 Q8IUC1 Q5TA81 Q5TA82 Q9BYQ7 P0C7H8 Q9BYR7 Q9BYR9 Q92570 Q7Z6R9 O43184 O14633 P49901 Q5T751 Q9BYR6 Q3SY46 Q9UGC6 Q8NEC5 Q5TCM9 Q5TA77 P60014 Q5T754 Q92504 Q9NRQ2 Q02930 Q9UGL9 Q9BYR8 P25490 P32242 Q12837 Q9Y223 Q9BYE3 Q9P2F9 Q5TA76 Q5T5B0 O76003 Q9NWN3 Q5T871 Q5T5A8 Q5HYJ3 Q86YT5 Q96LJ7 Q8IXW0 Q8WUK0 Q9Y2K5 Q969G9 Q8IYI8 A8MV65 Q2WGJ6 P16144 Q8WV24 P07510 Q8N6W0 A0JP26 O60269 P15976 Q8IUC0 Q8WTU2 Q9NQX5 Q8IY34 O95992 Q8TC90 Q15077 P08686 Q6IB77"
20,5,0.3336,3.336,332.8,0.009639,0.996692,"Q9UQV4 P19075 O14683 Q99536 Q5W0Z9"
21,16,0.3041,36.50,430.7,0.07311,0.999276,"Q13547 Q92769 O60341 O95863 Q9P2K3 Q92766 Q9UBW7 Q14687 O75362 Q9NP66 Q9UKL0 Q9P0W2 Q8TEW6 Q9UKL3 Q15022 Q96EK2"
22,31,0.3025,140.7,1955,0.06518,1.00000,"Q96A22 P78310 O75955 P06239 P07948 P29966 Q16625 O95661 Q8TEW0 Q9UPS8 Q03001 Q9C0D5 O95819 O14654 A7KAX9 P35221 P35222 Q6IQ23 Q99569 Q13480 Q12955 Q12959 Q9Y4J8 Q15334 O95490 Q9HB21 P46939 Q6P995 Q4KWH8 Q96QZ7 Q9ULC8"
23,5,0.3033,3.033,29.61,0.07113,0.734565,"Q8WUD1 P49354 Q8IYT1 Q6NXP2 P53609"
24,9,0.3168,11.40,298.6,0.03477,0.994778,"O95159 Q9Y678 P78508 P53621 Q9UBF2 P35606 P61923 P00533 Q9P299"
25,17,0.3123,42.47,125.5,0.2103,0.814749,"Q6QNY1 P78537 Q8WUJ0 Q969J3 O43504 Q96FH0 Q8TDM0 Q5VZM2 Q96B45 Q0VGL1 Q9HB90 Q9UHA4 Q9Y2Q5 Q7L523 Q8NBW4 Q9NQL2 Q9P278"
26,38,0.2847,200.1,763.9,0.1924,0.999924,"P62826 Q8NFH5 P63279 P18754 P61769 Q9BW19 P49790 Q14974 P49792 P57740 O00629 Q15398 Q5SRE5 Q69YH5 P0DJD0 P52948 P12270 Q9NRG9 Q9BTX1 Q9BVL2 O75694 Q99567 Q92621 Q9BW27 Q99666 Q8N1F7 Q12769 Q8WUM0 Q96SK2 A8CG34 O14715 E9PJ23 Q8NFH3 P35658 P46060 Q8TEM1 Q96EE3 Q8NFH4"
