Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,5,0.3053,3.053,41.64,0.05582,0.894962,"O75362 Q9UKL0 Q01538 Q9P0Z9 Q96EK2"
2,17,0.3140,42.70,269.6,0.1233,0.999913,"O15550 P61964 Q9UMN6 Q9UBL3 Q9P0U4 O15047 Q8NFC6 P51610 Q14686 O14686 Q96IK1 P98169 P55345 Q9Y5Z7 Q15291 Q6ZW49 Q9UPS6"
3,13,0.3021,23.56,371.2,0.05600,0.999993,"O00180 Q8NBI5 P06576 Q9UM00 P48047 Q969M3 P16615 Q9NX61 P25705 Q5T3F8 Q6ZNC8 Q15758 Q96K37"
4,6,0.3007,4.511,126.1,0.03162,0.998474,"Q99871 P26038 Q93008 Q96HP4 O15544 O94766"
5,6,0.3095,4.642,170.8,0.02476,0.998474,"P35241 Q9UPN3 Q05682 A6NLJ0 Q96NA2 O94854"
6,133,0.2776,2437,7924,0.2293,0.220682,"Q13586 P50402 Q96GC9 Q13190 Q9Y6I9 O75396 Q9HBM0 O15400 P78310 P17302 Q8N144 P13473 Q9UQV4 Q96RD7 P62491 P20338 P51148 P51151 P27824 Q8WXH0 Q9H2F3 Q9HDC5 O95292 Q9P2W7 Q9NYP7 Q9H8H3 P42166 Q9H6L5 O95210 Q99442 P51648 Q96A49 P49069 Q9P0L0 Q8TAA9 Q9BUN8 Q99640 O14681 Q8NBQ5 Q8N511 Q9BZF1 O75787 P04844 Q9NR77 Q96KC8 Q96AG4 P20700 Q9P246 O75410 Q9Y2U8 Q14739 Q9H089 Q5JTV8 O15260 Q8TEV9 Q5JRA6 O95721 Q96S66 Q15042 P49257 Q9P2W9 O15173 Q92575 Q8TCJ2 Q12846 P05556 Q96RQ1 Q9BTX1 Q969X5 P51572 P11712 Q00765 P04843 P43307 O14983 O60503 P18031 O00264 Q07065 Q15738 Q9Y5M8 A0FGR8 P35610 Q14573 Q5HYI8 Q86XL3 Q9UBM7 Q96CS3 Q96A33 Q9H2V7 Q8TCT9 Q99943 P08240 Q9H3P7 Q8WVM8 Q86UL3 P16435 P55011 Q9Y2H6 Q8WXF7 Q9BSJ8 Q8NFQ8 Q53EU6 Q07960 Q9NZJ5 O43402 O15498 Q9UGP8 Q9H2M9 Q9HCU5 Q92543 Q9Y2G8 Q96QT4 Q5VV42 Q9HAD4 Q8IWB9 Q96HY6 Q96SK2 Q5SQN1 Q8WUX9 Q8NEN9 Q86UE4 Q9Y679 O60858 P20020 P17706 O95573 Q9NXE4 P00167 Q9H2J7 P84157 Q86YN1 Q96EX1"
7,5,0.3112,3.112,128.7,0.02195,0.993907,"P27816 Q8N556 O75369 Q9UKK9 Q6P9B6"
8,5,0.3196,3.196,42.46,0.05742,0.989214,"P45973 Q6N043 Q9H5I1 Q96JM2 Q8IVC4"
9,9,0.3192,11.49,110.2,0.08224,0.961306,"Q9UL25 P61026 P31150 P50395 Q6IQ22 P61006 Q92930 P51153 P09525"
10,9,0.3128,11.26,538.4,0.01984,0.999853,"P29084 O15446 P18858 P39748 P29083 P09884 Q6VMQ6 Q96S55 O75717"
11,7,0.3131,6.574,151.6,0.03819,0.920068,"Q01484 Q8IXS6 Q9NWT6 Q12955 O60237 O00533 Q495B1"
12,15,0.2764,29.02,463.0,0.05560,0.996492,"Q96KQ7 P38432 Q9H5I1 Q96JM2 O95785 Q9H9B1 Q9H582 Q9NYT6 O75290 Q9UEU5 Q8N344 Q96GT9 P49788 Q9Y468 Q9Y6F7"
13,5,0.3591,3.591,254.2,0.01341,0.0712283,"Q86X24 P50222 Q15147 Q8NFP0 Q5SQS8"
