Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,18,0.4497,68.80,228.0,0.2067,0.965561,"Q9P2B7 P30260 Q9UJX3 Q96DE5 Q9UJX4 Q9UJX5 Q9H1A4 Q8NHZ8 Q9UM11 Q9BS18 Q9H6Y5 O95922 Q6PH81 Q9UKT4 P51955 Q9UM13 P01210 Q9UKI9"
2,28,0.3164,119.6,320.3,0.2412,0.879333,"Q969G3 Q92785 Q9UHA2 Q8TAQ2 Q68CP9 O14497 Q86U86 Q9NPI1 O94805 Q8WUZ0 Q12824 Q8NFD5 Q6STE5 Q92925 P51532 Q9NZM4 P51531 Q92784 Q9H8M2 Q4VC05 Q9BQE9 Q01201 Q92782 O96019 Q15532 Q9BXU2 Q15620 Q14002"
3,5,0.3383,3.383,72.19,0.03953,0.993907,"Q8N4C8 P10114 Q9UKE5 Q13905 O75807"
4,5,0.3148,3.148,104.6,0.02673,0.996692,"Q3V6T2 Q08174 Q14432 A4UGR9 Q92565"
5,7,0.3160,6.636,264.7,0.02325,0.999299,"Q9UGI8 P35241 Q9UPN3 P35221 Q05682 P11532 P46939"
6,6,0.3108,4.662,156.6,0.02690,0.998474,"Q9BVK2 P46977 P28288 P16615 Q93084 O43731"
7,4,0.3652,2.191,50.91,0.03586,0.843839,"A8MVW0 Q6P995 Q3KNT7 Q6GMV1"
8,5,0.3134,3.134,45.11,0.05382,0.996692,"Q9H3H9 Q96EI5 Q8N0Z2 P51784 Q32MZ4"
9,231,0.2390,6349,7099,0.4564,0.00000,"Q9NWT1 P62829 O43159 Q9BRU9 P61313 Q68D10 O15479 Q9GZL7 Q13610 P60866 P27635 P18077 Q8WYQ5 Q6NSZ9 Q9ULW3 Q9NZM5 O00541 P46781 P42696 P61513 Q9Y3U8 P46779 P62277 Q96MF4 Q9NR30 O75607 Q07020 P40429 Q02539 P50914 Q9UL40 O75569 P05388 Q96FI4 P39023 Q9GZR2 P26373 P62888 P35268 P62424 P62917 P42766 Q13247 P78362 P11940 Q9UFB7 Q8TDD1 P62913 Q9BSG1 Q9HAN9 O15213 Q9NX58 P62241 Q03188 Q1ED39 Q9BQG0 Q9H0A0 Q99848 Q96ME7 Q13206 Q13823 O15015 Q14692 Q15050 O76021 Q5SSJ5 Q5VWQ0 Q8N9T8 Q9BYG3 Q49A26 Q6PCB5 Q99676 O60765 P46087 O96028 O15381 P49711 Q9Y3T9 Q5JTH9 Q8TDN6 Q00839 P62899 P62847 P62753 P06748 Q6ZN17 P61247 P62249 P39019 P84098 P23396 Q92913 P15880 P36578 Q9Y2T7 Q4G0J3 P16401 P16402 Q7Z2W4 P62906 Q9UNX3 Q9UJV8 P0C5Z0 Q12906 Q9UHB9 P08708 P46776 P46778 Q02543 Q15397 Q96GQ7 Q9P2E9 Q9Y221 P67809 Q9UPE1 P32969 Q96MX3 P46777 Q02878 P49207 P62244 P62266 P62263 O60832 Q9NW13 Q9NY93 Q03701 Q9NVP1 Q9BZE4 O95625 Q14690 Q9GZR7 Q8WTT2 P18621 P62701 P42677 Q9H8H2 Q8NB50 Q96LZ2 Q3KP31 Q8IY81 Q8NDF8 P60228 Q14152 Q86V59 Q9BRJ6 P62854 Q15361 Q53GS7 O76094 Q96K58 Q9Y4C8 Q969Q0 P37108 P62851 Q15573 Q71F23 P61254 P62081 P46782 P05387 O95793 Q96HE9 P30050 P22492 Q9H116 P17026 P10412 Q9UGY1 Q6IQ21 P62750 Q13243 Q9NUL3 P78563 Q96IR2 Q9H5J8 P16403 Q9BRT6 Q8TBF4 O95478 P05386 Q6PK04 P46783 Q9H6F5 Q9H6S0 O75683 P62841 Q13601 P62910 Q9UHA3 Q9UII4 P57071 Q9H7B2 Q00577 Q9NQ55 Q96G21 Q9BXY0 Q9NVX2 P18124 P08865 Q9NX24 Q5VYS8 Q14512 Q9P0M6 Q15646 P62280 Q7L3S4 Q9BQ75 P61353 P62891 Q6DKI1 Q92901 Q96GM8 O00566 O75820 P63173 P25398 P83731 Q8IZA3 P62633 Q9H9Y2 P47914 Q12849 Q9UKD2 Q9NY61 P62269 P62861 Q96L21 P62273 P23467 Q9BY67"
10,9,0.3028,10.90,285.8,0.03463,0.999853,"Q6UX27 A8MVS5 Q9ULH0 Q96HW7 Q9Y279 Q96CS3 Q9UBH6 Q8WY07 O43505"
11,5,0.3111,3.111,57.00,0.04437,0.996692,"P43005 Q8N3T1 Q9NPD7 Q8TBG9 Q7Z5G4"
12,9,0.3156,11.36,209.4,0.04759,0.999853,"Q29RF7 P06028 O95274 O75695 P33681 Q9NTI5 Q7Z7M8 Q13535 Q8WXE1"
13,5,0.3000,3.000,70.24,0.03604,0.952654,"Q9NXV2 Q9H477 Q9NZM1 Q9NRX4 Q6A1A2"
14,5,0.3148,3.148,97.39,0.02847,0.996692,"P53677 Q9Y2T2 Q8IXS6 P06732 Q8NCB2"
15,7,0.3070,6.446,234.4,0.02529,0.999299,"Q8IWF6 Q15907 Q9Y6K9 Q9UBM7 Q9BXF6 O94822 Q6WKZ4"
16,44,0.2556,241.8,869.6,0.2016,0.999684,"P62826 Q8NFH5 P63279 P55735 P18754 P61769 Q9BW19 P49790 Q14974 P49792 P57740 O00629 Q15398 Q5SRE5 Q69YH5 P0DJD0 P52948 P12270 Q9NRG9 Q9BVL2 O75694 Q99567 Q92621 Q9BW27 Q99666 Q8N1F7 P61956 Q9P0U3 Q12769 Q8WUM0 Q96SK2 A8CG34 O14715 P63165 E9PJ23 Q8NFH3 P0DJD1 P35658 Q9BXS6 P46060 Q8TEM1 Q96EE3 Q8NFH4 Q96S15"
17,5,0.3139,3.139,23.35,0.08603,0.851865,"P48382 Q8TBZ6 Q2KHR2 O14593 O00287"
18,5,0.3520,3.520,284.0,0.01183,0.661948,"P50222 O60909 Q8TBZ9 Q6P1R4 A8MRT5"
19,9,0.3226,11.61,149.7,0.06475,0.999853,"P17858 Q01813 Q8NDH3 P08237 P11586 O95456 Q9H0A8 Q96M27 P52565"
20,10,0.3027,13.62,233.8,0.05093,0.984395,"O95831 O75746 Q99623 Q16891 Q9UJS0 P36551 Q69YU5 Q7KZN9 P49753 O94826"
21,151,0.1703,1928,2526,0.4054,7.30546e-08,"Q7Z3S9 O14817 P28799 Q9HB63 Q9H2X0 Q92824 Q9UKJ5 Q9Y3S2 O95980 Q9NUL5 O60336 Q8WWZ8 Q8IWZ5 P05187 O43609 Q6EMK4 O43610 Q9UHI7 Q9BYR3 Q5T752 B2RUY7 Q14995 Q52LG2 Q5T753 Q5TA79 P59990 Q9BYQ0 P60410 Q6L8H2 Q9BYR2 Q5T749 Q6L8G4 Q9BYQ3 P60328 Q6L8G9 Q701N4 Q9BYQ6 P60329 Q9BQ66 P60411 P59991 Q9BYQ4 P60370 P60412 Q9BYR5 P26371 P60409 Q8IUG1 A0A087WUL8 Q5T7P2 Q5TA78 Q2TAL6 Q5T7P3 P60331 Q9BYP8 Q07627 Q9BYS1 Q6L8G8 Q6UY14 O76081 P49795 Q8IUC1 Q5TA81 Q5TA82 Q9BYQ7 P0C7H8 Q9BYR7 Q9BYR9 Q92570 P60371 Q7Z6R9 O43184 O14633 P49901 Q5T751 Q9BYR6 Q9UGC6 Q8NEC5 Q5TCM9 Q5TA77 P60014 Q5T754 Q92504 Q9NRQ2 P27918 O43597 Q3LI59 Q02930 Q9UGL9 Q9NRY6 Q9BYR8 P25490 P32242 Q12837 Q9Y223 Q9BYE3 Q8NE01 Q5TA76 Q5T5B0 O76003 Q9NWN3 Q5T871 Q5T5A8 Q5HYJ3 Q86YT5 Q96LJ7 Q8IXW0 Q8WUK0 Q3LHN2 Q969G9 Q8NHX4 Q6P5X5 Q8IYI8 A8MV65 Q6UXG3 Q2WGJ6 P52179 O75716 O60259 P16144 Q92608 Q8WV24 Q8WTX9 P07510 Q16348 O15304 Q13214 Q6PEX3 Q7RTU3 A0JP26 O60269 Q8IUC0 Q8WTU2 Q86XF7 Q15040 Q9NQX5 P06850 P82987 Q8N143 Q8IW00 Q8NDP4 O95992 A8MUP2 Q6UXX9 Q8TC90 Q15077 P08686 P52797 Q86UN2 Q6ZMJ4 Q6IB77"
22,5,0.3062,3.062,62.30,0.04063,0.996692,"O00592 Q96MM6 Q02952 O43301 Q9NRY4"
23,80,0.2775,876.9,4482,0.1589,0.997132,"Q13586 P50402 Q8N144 Q96RD7 Q8WXH0 Q9H2F3 Q9P2W7 Q9NYP7 Q9H8H3 P42166 O95210 Q99442 P49069 Q9BUN8 Q86Y07 Q8NBQ5 Q9BZF1 P04844 Q9NR77 Q96KC8 P20700 Q9P246 Q9HC62 Q14739 Q9H089 Q96S66 Q15042 P49257 Q92575 Q8TCJ2 Q96RQ1 Q969X5 P51572 P11712 Q00765 P04843 P43307 O14983 O00264 Q07065 Q5HYI8 Q99618 Q86XL3 Q9UBM7 Q96CS3 Q96A33 Q8TCT9 P08240 Q9H3P7 Q86UL3 P16435 Q9Y2H6 Q8WXF7 Q9BSJ8 Q8NFQ8 Q53EU6 Q9UGP8 Q9H2M9 Q9HCU5 Q92543 Q9Y2G8 Q96QT4 Q5VV42 Q9HAD4 Q8IWB9 Q9H1E5 Q96HY6 Q96SK2 Q8WUX9 Q86UE4 Q9Y679 O60858 P17706 O95573 Q9NXE4 P00167 Q9H2J7 P84157 Q96CF2 Q9UHE8"
24,5,0.3295,3.295,35.70,0.06725,0.981643,"O15131 Q96C86 Q6IQ16 O43791 Q99836"
25,14,0.3650,33.21,132.0,0.1719,0.814868,"Q13425 P22459 Q9NSN8 Q9UBT7 P11532 Q8N103 Q9NY99 Q9Y4J8 Q13424 Q13884 P29475 P46939 Q9HB19 A5D8W1"
26,4,0.3267,1.960,66.30,0.02570,0.992931,"Q9BUT1 Q9H7E2 Q7KZF4 Q6P1Q9"
27,7,0.3133,6.580,402.3,0.01556,0.999299,"P61019 Q8TCZ2 Q9NYI0 Q9H0B6 Q13393 Q6P597 Q96QS3"
28,7,0.3053,6.412,445.9,0.01375,0.999299,"Q96RK0 Q9Y294 Q9UKX7 P13056 Q15652 Q9H1E3 Q9H4I2"
29,13,0.3260,25.43,134.9,0.1365,0.987978,"Q10567 O43747 P56377 P61966 O75843 Q96N06 Q96PC3 Q9Y6Q5 Q6ULP2 Q9P2D3 Q9H1H9 Q9UMZ2 Q6PD74"
30,7,0.3154,6.624,129.1,0.04425,0.998353,"Q5W5X9 Q96MY7 Q86T90 Q6IPM2 O95238 Q6PF05 A8K855"
31,4,0.3438,2.063,26.91,0.05580,0.969699,"O60711 Q7Z5R6 Q8IVE3 Q9ULM0"
32,9,0.3035,10.93,228.8,0.04240,0.953301,"O95831 Q99623 O96008 Q86TX2 Q6UW78 Q69YU5 Q7KZN9 P49753 O94826"
