,Prey Gene,Bait Gene,Prey_uniprot,Bait_uniprot,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea
92,FOXP2,CRX,O15409,O43186,0.308956563472747,0.042508192360401,0.834200203418731,0.520618975162506
93,TNRC18,CRX,O15417,O43186,0.308956563472747,0.042508192360401,0.851553082466125,0.8756526112556451
94,ZEB2,CRX,O60315,O43186,0.308956563472747,0.042508192360401,0.9134694337844841,0.701518595218658
95,PIAS1,CRX,O75925,O43186,0.308956563472747,0.042508192360401,0.452395111322402,0.505628526210784
96,SKI,CRX,P12755,O43186,0.308956563472747,0.042508192360401,0.10431753098964601,0.113735496997833
97,POU2F1,CRX,P14859,O43186,0.308956563472747,0.042508192360401,0.754133522510528,0.58046954870224
98,HOXB9,CRX,P17482,O43186,0.308956563472747,0.042508192360401,0.20739424228668202,0.373688966035842
99,TEAD1,CRX,P28347,O43186,0.308956563472747,0.042508192360401,0.082410633563995,0.8879879117012021
100,SOX5,CRX,P35711,O43186,0.308956563472747,0.042508192360401,0.811525464057922,0.492660135030746
101,PBX1,CRX,P40424,O43186,0.308956563472747,0.042508192360401,0.49614271521568304,0.8091415166854851
102,PBX2,CRX,P40425,O43186,0.308956563472747,0.042508192360401,0.586033761501312,0.352251768112182
103,,CRX,P43694,O43186,0.308956563472747,0.042508192360401,0.781119048595428,0.527427017688751
104,MNX1,CRX,P50219,O43186,0.308956563472747,0.042508192360401,0.46140772104263306,0.14530888199806202
105,ERF,CRX,P50548,O43186,0.308956563472747,0.042508192360401,0.777015745639801,0.7776447534561151
106,LMO4,CRX,P61968,O43186,0.308956563472747,0.042508192360401,0.074460424482822,0.129639774560928
107,MECOM,CRX,Q03112,O43186,0.308956563472747,0.042508192360401,0.083625748753547,0.11049000918865201
108,PCGF3,CRX,Q3KNV8,O43186,0.308956563472747,0.042508192360401,0.081967778503894,0.24801239371299702
109,LRIF1,CRX,Q5T3J3,O43186,0.308956563472747,0.042508192360401,0.49095731973648005,0.670856118202209
110,SMARCD3,CRX,Q6STE5,O43186,0.308956563472747,0.042508192360401,0.37719455361366205,0.727510631084442
111,LDB1,CRX,Q86U70,O43186,0.308956563472747,0.042508192360401,0.7908104062080381,0.5877143144607541
112,PIAS4,CRX,Q8N2W9,O43186,0.308956563472747,0.042508192360401,0.047388080507516,0.047357771545648006
113,DPF3,CRX,Q92784,O43186,0.308956563472747,0.042508192360401,0.050061345100402006,0.28637036681175204
114,ISL2,CRX,Q96A47,O43186,0.308956563472747,0.042508192360401,0.057686936110258005,0.047429136931896
115,TRERF1,CRX,Q96PN7,O43186,0.308956563472747,0.042508192360401,0.7479749917984001,0.616196811199188
